#NAME,PTLG002_1,PTLG003_1,PTLG004_1,PTLG005_1,PTLG007_1,PTLG008_1,PTLG009_1,PTLG010_1,PTLG012_1,PTLG015_1,PTLG016_1,PTLG018_1,PTLG019_1,PTLG020_1,PTLG022_1,PTLG024_1,PTLG029_1,PTLG002_2,PTLG003_2,PTLG004_2,PTLG005_2,PTLG007_2,PTLG008_2,PTLG009_2,PTLG010_2,PTLG012_2,PTLG015_2,PTLG016_2,PTLG018_2,PTLG019_2,PTLG020_2,PTLG022_2,PTLG024_2,PTLG029_2,PTLG002_3,PTLG003_3,PTLG004_3,PTLG005_3,PTLG007_3,PTLG008_3,PTLG009_3,PTLG010_3,PTLG012_3,PTLG015_3,PTLG016_3,PTLG018_3,PTLG019_3,PTLG020_3,PTLG022_3,PTLG024_3,PTLG029_3,PTLG002_4,PTLG003_4,PTLG004_4,PTLG005_4,PTLG007_4,PTLG008_4,PTLG009_4,PTLG010_4,PTLG012_4,PTLG015_4,PTLG016_4,PTLG018_4,PTLG019_4,PTLG020_4,PTLG022_4,PTLG024_4,PTLG029_4
N1-Methyl-2-pyridone-5-carboxamide,0.0550991485,0.06030218125,0.0745380945,0.04959586675,0.0507334805,0.133186114,0.037816105,0.05168871,0.03321122125,0.041741827,0.07142824975,0.030366572,0.04857051525,0.03479748875,0.02934365675,0.0228139705,0.0470157965,0.0559225665,0.07017664125,0.0358034745,0.058521376,0.0302498705,0.02561081125,0.03681048225,0.03489337525,0.03855813325,0.0541846935,0.096212199,0.01529278375,0.054852924,0.0365151695,0.02808937625,0.0380948635,0.045252089,0.03899949525,0.044423526,0.05289375975,0.0325139075,0.0179595575,0.00908508725,0.0390643365,0.02648998525,0.038122591,0.0526402265,0.07283866325,0.0189555935,0.02675687425,0.051882891,0.0468398785,0.0217443975,0.031109761,0.03691902825,0.0556576675,0.0373115005,0.03082538725,0.0074310935,0.0412183055,0.021871561,0.0230206995,0.0359548915,0.02675658975,0.03954978775,0.0348974185,0.026721983,0.055978577,0.0391026025,0.029663683,0.01945272225
Barringtogenol C,0.057662228714286,0.074767404714286,0.110278469714286,0.084341559428571,0.213302686142857,0.138750035857143,0.063941253857143,0.072353741285714,0.044112077,0.042774471571429,0.070816598857143,0.100302262142857,0.031064500857143,0.042276894571429,0.080910813714286,0.051007958571429,0.071929104285714,0.059320711142857,0.080164416571429,0.054898365285714,0.102395895571429,0.083198378142857,0.050251528,0.052026839571429,0.058958660142857,0.045307505571429,0.049396633428571,0.091742997714286,0.107264343714286,0.043657796428571,0.045102229142857,0.052337096142857,0.052062161142857,0.057841338714286,0.027397823142857,0.034364533857143,0.057612456285714,0.053892117857143,0.088040272142857,0.050424159285714,0.059420886428571,0.045340007714286,0.039090381714286,0.052051331,0.068255294857143,0.140933742714286,0.029442031428571,0.038979464857143,0.060328547285714,0.043994611571429,0.045380089142857,0.024749077142857,0.021607419,0.038391787714286,0.041655016714286,0.097528171,0.036280558571429,0.049135239571429,0.044676301,0.033045743571429,0.033736705,0.032001162285714,0.097375387428571,0.024173164428571,0.052754198142857,0.058515708428571,0.049817158428571,0.054973051857143
3beta-Acetoxy-11alpha-methoxy-12-ursen-28-oic acid,0.057382463,0.056692533,0.067014164,0.0516164,0.091558005,0.134262229,0.026823991,0.060436399,0.030926258,0.027714074,0.067020831,0.049763751,0.024354708,0.03493786,0.038326928,0.031296845,0.057115831,0.052841741,0.060339957,0.032880416,0.063938748,0.03427518,0.024602761,0.028366171,0.035147633,0.032443958,0.044346689,0.09087834,0.049042289,0.038628015,0.031953359,0.043867268,0.037167713,0.038824717,0.024636365,0.026369165,0.030385423,0.041614368,0.036986162,0.021985361,0.032692438,0.038968465,0.025624505,0.045104992,0.062129369,0.056713231,0.021555579,0.029491782,0.038792665,0.03487765,0.024796314,0.022605632,0.013346213,0.024102062,0.022934211,0.034241653,0.019288186,0.021878689,0.032912513,0.026709059,0.027563526,0.019276909,0.033915206,0.019337912,0.048039059,0.029136149,0.027670762,0.023343944
Basilimoside,0.04493315375,0.0590499555,0.0632840915,0.05531613575,0.117367835,0.13811012,0.0361698485,0.065968085,0.024158007,0.028585676,0.068187938,0.04897861125,0.023474599,0.026085861,0.04735493275,0.05031868875,0.05643568025,0.050158991,0.06027181775,0.025558601,0.07138237775,0.0346419165,0.0262666095,0.027509418,0.03949748275,0.02944991525,0.04381860925,0.0993493505,0.07044183775,0.03790882275,0.02714508775,0.02988045075,0.0385629425,0.04092026825,0.02382003675,0.02437299725,0.02784601475,0.0439386495,0.03013921475,0.0555949235,0.03569310875,0.02325410475,0.02380630925,0.04401906525,0.06210048525,0.09590379275,0.01848482675,0.02712718425,0.04367921925,0.03005036575,0.0207822065,0.0211470035,0.01246014675,0.02570287025,0.02369779425,0.06315043975,0.02357470975,0.0311099175,0.0343008685,0.02288974125,0.02192804925,0.0214909685,0.05262215825,0.013243245,0.04625188225,0.0404347485,0.03113125875,0.0391408445
2s-Pyrrolidin-2-Ylmethylamine,0.040983833,0.049911143,0.053143402,0.045142262,0.045710933,0.132127336,0.024783337,0.045040396,0.020507208,0.024830613,0.06638142,0.015305743,0.02631854,0.022769857,0.024410161,0.021580595,0.043067113,0.04890144,0.05346914,0.009850366,0.052238371,0.02942539,0.014633587,0.026127065,0.026641461,0.030355855,0.045964473,0.089946152,0.011710825,0.039922421,0.025308977,0.019794265,0.035844515,0.036822536,0.028492539,0.029439687,0.019175094,0.019453034,0.020900527,0.006302158,0.029130586,0.017859121,0.026937685,0.044866964,0.063793395,0.018444326,0.018252893,0.035262189,0.036636729,0.02214285,0.026807094,0.025986739,0.016067982,0.027971949,0.021666556,0.010488122,0.02169612,0.011703007,0.021866688,0.028633045,0.018875984,0.020037592,0.034415227,0.017710384,0.04855676,0.022633733,0.0234521,0.011755335
4-Methylpiperazin-1-Yl Carbonyl Group,0.04825789,0.055510766,0.0634064905,0.04936147,0.05214498,0.13419048,0.036551348,0.0569688195,0.036948176,0.0440702265,0.070108064,0.0339391525,0.0397486735,0.0403785365,0.042933385,0.0399364505,0.05506509,0.056278815,0.05917861,0.029733511,0.061720175,0.041801582,0.032648617,0.043101954,0.044047664,0.0500757315,0.057903918,0.094423459,0.0329258895,0.0503227745,0.0434578255,0.0382833215,0.050128139,0.0434456375,0.0425900565,0.047645833,0.041826857,0.039774098,0.0406031465,0.0247517955,0.0495972305,0.038517647,0.0431604145,0.0509923855,0.075032399,0.041274677,0.0361601395,0.067716057,0.0449761055,0.045500939,0.061087262,0.044043225,0.0366195755,0.0442760605,0.0401450965,0.0404127445,0.0383343555,0.026836901,0.0408683785,0.054248755,0.0350091945,0.0393886735,0.056239278,0.0363738375,0.0633080065,0.0469665495,0.0413633385,0.030566077
Chlorpromazine,0.3892006165,0.4449321525,0.74825997,0.42157336,0.4584483335,0.211497763,0.397550274,0.448597045,0.7383661315,0.6020964195,0.32333957,0.859925691,0.494823223,0.548692768,0.686487644,0.6914416835,0.038830631,0.5549743685,0.458981646,0.6474061455,0.6633556995,0.475566368,0.721480353,0.5792372385,0.593546412,0.689656677,0.3557136765,0.158534623,0.509876313,0.397250865,0.7359970855,0.5237782085,0.523518722,0.035966139,0.4874321705,0.8032046155,0.8235405535,0.582425085,0.7228989665,0.6328381265,0.7983442305,0.621255408,0.4667290625,0.4520623045,0.3495611005,0.72264531,0.764827787,0.9234419365,0.277952481,0.7334300765,0.0129283535,0.660251922,0.503934211,0.350008978,0.857064555,0.8004658025,0.53783762,0.373031316,0.7388276195,0.555470046,0.8596982975,0.5948031785,0.4430323815,0.742932179,0.3336413665,0.536019644,0.5523011375,0.047022164
"DG150/1846Z,9Z,12Z,15Z/00",0.075667797,0.111163026666667,0.128107661833333,0.116009355,0.283631869833333,0.1614397945,0.278068828833333,0.1595182655,0.077510351166667,0.147474102,0.104966985166667,0.3100077715,0.052980051666667,0.084866691,0.2220420875,0.196686462833333,0.140684772,0.071892600333333,0.113850672833333,0.124868938666667,0.148038837166667,0.128334287833333,0.125765499,0.109801731166667,0.147744858666667,0.073617890333333,0.074505747666667,0.103671748333333,0.317511712,0.061262151833333,0.081584583833333,0.126558430666667,0.109680627,0.091340385666667,0.0409355855,0.0569981165,0.104238964833333,0.125126960333333,0.125890069666667,0.159564353333333,0.198074925666667,0.079737763666667,0.051684463333333,0.074915979666667,0.093208603,0.432917486833333,0.086294978166667,0.055405035833333,0.109561902166667,0.1241677995,0.068690639,0.037331442,0.051347908833333,0.059059941166667,0.090553674833333,0.285353218166667,0.1057816895,0.174192079166667,0.1131634055,0.052163166166667,0.080893145333333,0.129564498666667,0.289250480833333,0.041931402166667,0.060037305,0.202865001833333,0.1608059725,0.177621107166667
"DG150/1836Z,9Z,12Z/00",0.073394991222222,0.100069316333333,0.118512897888889,0.114241747,0.180101185666667,0.155459971333333,0.129669461444444,0.126826012777778,0.073631158,0.098832685,0.092542775888889,0.193685310777778,0.041425283222222,0.064652092888889,0.143976978666667,0.155805342777778,0.115029730444444,0.073059885666667,0.112918738333333,0.098537600444444,0.150321410888889,0.096226067333333,0.117163565111111,0.078297428666667,0.112103826888889,0.074610018888889,0.067509610666667,0.100294295,0.215037822555556,0.057683388777778,0.075228055666667,0.097663772888889,0.092869891555556,0.088287509888889,0.051488780333333,0.055008069888889,0.087248398888889,0.116782640666667,0.095740493555556,0.211841869,0.110685061888889,0.069857660555556,0.050390731111111,0.066736446555556,0.085350475555556,0.270828832888889,0.047392770888889,0.055395995333333,0.098104287888889,0.095631538333333,0.065234197,0.035230366333333,0.048426099777778,0.054400455777778,0.080914193777778,0.211394159,0.101735164111111,0.109490672111111,0.101019192555556,0.049481837222222,0.062862129,0.062440245555556,0.211801876555556,0.033187833777778,0.054661861222222,0.151153996777778,0.092834635222222,0.176091782666667
Fomepizole,0.04479696,0.055240917,0.063142822,0.048407169,0.053774317,0.132967454,0.030968228,0.047664531,0.02493113,0.025353112,0.068295587,0.020392015,0.028649819,0.024292841,0.028700785,0.025834558,0.045342452,0.05475734,0.057893849,0.012478368,0.063264468,0.031181031,0.020321975,0.029923771,0.029658761,0.036985724,0.048079505,0.090694344,0.011983685,0.043749449,0.029949654,0.021175462,0.037670307,0.039866683,0.031047251,0.037733408,0.021254099,0.021902042,0.025035663,0.008430582,0.038289771,0.019600759,0.029747975,0.205396798,0.063823784,0.023925625,0.020277675,0.043217699,0.042695355,0.024776126,0.021012288,0.031248917,0.018533196,0.029392057,0.031601305,0.012665888,0.022617968,0.015964052,0.024458693,0.027924197,0.023600695,0.01938299,0.031358094,0.019059313,0.049762957,0.024227591,0.023524189,0.014904402
