#NAME,PTLG002_1,PTLG003_1,PTLG004_1,PTLG005_1,PTLG007_1,PTLG008_1,PTLG009_1,PTLG010_1,PTLG012_1,PTLG015_1,PTLG016_1,PTLG018_1,PTLG019_1,PTLG020_1,PTLG022_1,PTLG024_1,PTLG029_1,PTLG002_2,PTLG003_2,PTLG004_2,PTLG005_2,PTLG007_2,PTLG008_2,PTLG009_2,PTLG010_2,PTLG012_2,PTLG015_2,PTLG016_2,PTLG018_2,PTLG019_2,PTLG020_2,PTLG022_2,PTLG024_2,PTLG029_2,PTLG002_3,PTLG003_3,PTLG004_3,PTLG005_3,PTLG007_3,PTLG008_3,PTLG009_3,PTLG010_3,PTLG012_3,PTLG015_3,PTLG016_3,PTLG018_3,PTLG019_3,PTLG020_3,PTLG022_3,PTLG024_3,PTLG029_3,PTLG002_4,PTLG003_4,PTLG004_4,PTLG005_4,PTLG007_4,PTLG008_4,PTLG009_4,PTLG010_4,PTLG012_4,PTLG015_4,PTLG016_4,PTLG018_4,PTLG019_4,PTLG020_4,PTLG022_4,PTLG024_4,PTLG029_4
#CLASS,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,First_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Second_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Third_tri,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
STUB1,1084,916.7,744.4,831,1033.4,786.2,907.03,845,818.8,841.4,1128.9,753.6,766.6,861.9,744.5,716.2,1001.7,1089.4,812.8,920.9,765.7,587.1,940.6,891.6,796.6,912.3,646.8,712.7,667.2,754.7,1185,847.6,616.6,819.2,942.6,888.5,742.5,518,782,979.9,891,824.6,691.2,894.5,724,907.03,593.3,1093.2,773.8,616.1,781.7,1664.2,1638,1051.6,947.5,907.03,1118,1263.8,1036.5,788.2,891.4,1217,906,903.2,907.03,903.8,760.4,1071.2
CEBPB,396.2,492.2,541.4,544.7,558.4,456.1,524.01,475.4,483.8,434,437.3,1526.4,576.6,481.4,961.4,443.2,475.5,467,532.6,566.6,545.9,551.8,468.5,506.2,597.3,549.3,554.3,417.2,1537.9,538.3,461,762.7,475.8,450.6,454.3,495.4,602.6,527.5,652.2,632.3,533.8,613.8,544.2,656.7,540.2,524.01,566.6,463,925.2,456.4,1436.9,403.3,434.8,486.2,558.6,524.01,385.5,439.4,434.3,429.9,421.1,395.6,1383.2,463.6,524.01,645.3,381.5,709.6
ENO2,7065.9,6341.9,8916,5317.6,4022.1,5128.8,6667.581,9439.8,11830.7,5832.5,10122.9,13341.1,8954.7,6472.9,9521.7,5060.3,5830.6,6765.5,4140,9299.4,10158.9,15959.1,5095.1,5043.5,6395.6,6420.6,13764.2,7274.8,14093,4972.5,10479.7,11041.6,5239.3,5352,9996.2,7447.3,7949,7893.2,3309.8,5927.5,3603.3,4372.5,5322.4,12499.5,5653.6,6667.581,6329.6,7792.3,8208,4252.7,6897.8,5166.6,5096.7,12648.5,15124.4,6667.581,9204.2,10230.4,6902.7,14387.5,8920.6,6048.8,17508.4,6538.1,6667.581,8401,10645.7,7104.2
PIAS4,490.7,518.6,615.5,504.9,548.6,447.2,569.42,433.4,3631.3,390.9,476.4,582,633.2,478,436.5,501.2,465.8,512.1,553.5,588.9,415.2,479.6,402.4,533,527.1,4073.7,460.3,450.1,530.6,601.8,482.8,443.3,482.2,459.5,493.3,564.4,571.3,423.4,558.6,502.4,573.5,508.3,2600.4,510.3,495.2,569.42,471.7,366.9,547.6,458.5,877.4,475.4,462.8,539.7,570.9,569.42,394.3,517.1,391.1,3365.5,498.6,421.1,476.8,457.3,569.42,594,454.1,586.9
IL10RA,702.9,691.7,742.4,837.8,742.9,802,766.014,818.8,875.8,718.6,798.7,1140.3,780,900.1,835.7,766.9,695.6,719,757.1,640,817.2,768.2,740,721.7,767.1,837.8,826.4,835,1212.3,816.8,788.9,778.7,894.1,800.9,708.7,757.7,698.5,833.7,740,668.4,601.3,725.6,847.1,685.9,807.7,766.014,1014.1,771.5,1006.7,918.6,982.5,703.9,692,763.2,772,766.014,800,657,768,870.8,674.4,822.3,1173.9,755.9,766.014,873,816.6,984.8
STAT3,761,922.3,595.8,944,891.4,1015.9,826.036,740.3,662.1,692.8,1038.6,604.2,762.7,744.6,956.9,832.1,732.8,717.7,799.3,887.2,840.5,783.6,1277.3,939.2,664.1,666.2,527.3,742.8,651.8,662.4,825.8,970.8,700.4,600.5,777.7,943.4,561.3,555.1,1064.5,1205.5,898.2,780.2,733.4,767,612.8,826.036,473.5,1075.9,707.9,729.3,520.3,1076.6,1294.2,737.2,881.3,826.036,1091.3,923.7,931.1,417.7,467.7,703.3,863.3,547.6,826.036,711.7,738.6,675.7
IRF1,1003.2,1226.6,2336.8,1011.6,1146.8,1189.3,1085.443,1039.4,1125.3,1170.4,1147.7,1144.2,1033.3,990,1170.8,1083.5,1195.3,1016.8,1274,1997.9,1023,1022.9,1116.7,929.9,1100.1,1270.4,1135.3,904.9,1084.2,1096,1345.6,1136,962.2,982.6,1101.9,1199.2,2132.1,1053.6,1143.5,1161,975.4,1049,1030.4,1190.3,1100.3,1085.443,1098,1071,1175.2,893.5,1059.1,1209.7,1342.8,2132.9,1289.4,1085.443,1081,1032.6,1642.2,1180,1279.7,1067.6,1112.7,1121.2,1085.443,1163.5,961.9,1101.3
MCL1,443.4,728.3,614.6,459.2,522.3,621.1,545.345,731.2,534.9,826.4,456,685.3,604.9,620.2,964,519.5,461.3,462.8,724.5,632.1,470.9,510.9,575.4,952.4,689.6,527.2,904.7,490,725.5,566.8,535.3,889.7,488.5,480.6,459.2,686.4,585.6,504.9,491.3,523.6,653.2,656.1,507,748,517.8,545.345,546.9,539.3,838,521.8,733.2,463.2,728.6,554.2,486.5,545.345,570.9,596.9,689.4,604.1,856,454.1,687,581,545.345,954.3,589.9,541.6
OAS1,140.7,328.1,162.3,150.6,148.4,169.3,163.248,139.8,799.6,219.3,157.5,206.5,277.5,274.6,322,155.2,178,128.6,340.4,162.4,158.3,162.7,162.1,142.5,140.4,771.3,282.1,159.6,213,245.3,246.4,254,153,170.2,149.1,298.4,155.8,165.3,160.5,156.2,151.2,139.6,587.1,219.5,161.9,163.248,215,224.5,235.7,145.8,791.2,145.6,283.6,160.4,272,163.248,166,145.5,150.9,824.4,276.2,158.1,212.7,226.2,163.248,200.9,148.6,406
MYC,190.6,214.2,197.5,307.6,196.4,182.5,223.353,182.2,204.2,157.7,194.6,357.3,183.6,566.5,486.4,196.3,242.9,202,208,192.6,299.1,207.7,181.8,382.4,201.7,200.7,196.9,199.3,361.3,182.4,457.8,376,208.1,249.3,195.7,207.1,199.6,302.7,219.2,185,363,210.3,206.6,210.5,212.6,223.353,182.1,395.5,365.5,193.2,393.6,173.1,193.7,180.6,466.8,223.353,161.4,649.5,180.9,188.2,173.4,187.1,341.7,171.4,223.353,318.2,181,288.8
