,Label,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-100,hsa-mir-101-1,hsa-mir-101-2,hsa-mir-103-1,hsa-mir-103-2,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-10a,hsa-mir-10b,hsa-mir-125a,hsa-mir-125b-1,hsa-mir-126,hsa-mir-127,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-1301,hsa-mir-1307,hsa-mir-130a,hsa-mir-130b,hsa-mir-132,hsa-mir-134,hsa-mir-139,hsa-mir-140,hsa-mir-141,hsa-mir-142,hsa-mir-143,hsa-mir-144,hsa-mir-145,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-148b,hsa-mir-149,hsa-mir-150,hsa-mir-151,hsa-mir-152,hsa-mir-155,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-181a-1,hsa-mir-181a-2,hsa-mir-181b-1,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-185,hsa-mir-186,hsa-mir-191,hsa-mir-192,hsa-mir-193a,hsa-mir-193b,hsa-mir-194-1,hsa-mir-194-2,hsa-mir-195,hsa-mir-196a-1,hsa-mir-196b,hsa-mir-197,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-199b,hsa-mir-19b-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203,hsa-mir-205,hsa-mir-20a,hsa-mir-21,hsa-mir-210,hsa-mir-214,hsa-mir-218-2,hsa-mir-22,hsa-mir-221,hsa-mir-222,hsa-mir-223,hsa-mir-2355,hsa-mir-23a,hsa-mir-23b,hsa-mir-24-1,hsa-mir-24-2,hsa-mir-25,hsa-mir-26a-2,hsa-mir-26b,hsa-mir-27a,hsa-mir-27b,hsa-mir-28,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3065,hsa-mir-3074,hsa-mir-30a,hsa-mir-30b,hsa-mir-30c-2,hsa-mir-30d,hsa-mir-30e,hsa-mir-32,hsa-mir-320a,hsa-mir-324,hsa-mir-328,hsa-mir-330,hsa-mir-331,hsa-mir-337,hsa-mir-338,hsa-mir-339,hsa-mir-340,hsa-mir-342,hsa-mir-345,hsa-mir-34a,hsa-mir-3607,hsa-mir-361,hsa-mir-3613,hsa-mir-3647,hsa-mir-365-1,hsa-mir-365-2,hsa-mir-3653,hsa-mir-374a,hsa-mir-374b,hsa-mir-375,hsa-mir-378,hsa-mir-379,hsa-mir-381,hsa-mir-409,hsa-mir-423,hsa-mir-424,hsa-mir-425,hsa-mir-429,hsa-mir-451,hsa-mir-452,hsa-mir-454,hsa-mir-455,hsa-mir-484,hsa-mir-486,hsa-mir-497,hsa-mir-500a,hsa-mir-501,hsa-mir-505,hsa-mir-532,hsa-mir-539,hsa-mir-542,hsa-mir-574,hsa-mir-576,hsa-mir-582,hsa-mir-584,hsa-mir-589,hsa-mir-590,hsa-mir-625,hsa-mir-628,hsa-mir-629,hsa-mir-660,hsa-mir-664,hsa-mir-7-1,hsa-mir-708,hsa-mir-744,hsa-mir-769,hsa-mir-874,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-92b,hsa-mir-93,hsa-mir-96,hsa-mir-98,hsa-mir-99a,hsa-mir-99b
A0FJ,Basal,11.83581564,12.85104672,11.91881133,14.80138024,10.93567522,9.87119975,10.48944272,5.508566661,11.23099832,10.92168894,10.16686798,12.66042088,12.77494071,5.434088445,14.21294886,4.218051519,6.784398342,10.49689408,6.592288487,12.7849252,14.64019717,9.536090197,9.633955762,12.99410488,9.035674777,7.488005339,6.769330894,4.02857372,5.817735526,10.45630926,8.227729433,6.494891724,7.27516849,8.66634258,5.983586265,10.43796466,11.40071326,11.73738535,14.6774989,6.059869851,10.84875268,8.03646163,10.19392153,14.7655838,9.266475515,6.072200653,7.729013438,11.84167981,9.153511267,9.815445169,8.174394165,7.862795248,11.4643719,4.304208163,11.37263597,10.70471639,10.98460591,8.927851132,9.969235052,9.024613534,16.76451937,15.71163758,6.70743636,9.89221662,9.909499786,9.333315304,8.151333614,5.335235058,5.80301402,5.957234939,5.375592796,5.817735526,11.49617927,9.830041007,10.72877005,11.48872421,11.8962318,9.141858947,11.54758915,10.95827337,14.00205711,9.197795483,7.347968548,9.839088983,17.13110489,12.2076971,5.114546943,6.791873462,15.86503247,6.609311635,6.41968538,6.201308255,7.069127819,14.35360296,10.65434664,4.765539314,12.97647976,14.2123832,10.64405817,8.956403654,12.4375924,9.955987831,12.39082519,10.88546334,6.277832747,6.634475559,7.819565196,6.609311635,3.149880016,16.96301146,8.180102165,11.73786919,12.19100922,14.47538496,5.041173757,9.520426817,5.375592796,5.414852227,3.750272558,5.613536221,3.97704342,7.786270756,4.825040326,5.138198211,7.464810385,6.999814727,6.68352374,7.253675429,7.681513015,5.138198211,4.462470247,3.750272558,4.304208163,4.703478346,10.0548302,6.072200653,13.22440997,9.121238146,8.811313343,4.424502397,5.508566661,7.844939884,7.175823284,7.962212615,8.045870544,5.970470766,5.903042838,3.324966723,10.38272642,6.009464897,2.588001129,4.218051519,9.339704575,6.761737744,8.482241468,10.20025532,4.882184233,7.164350499,7.198498722,4.17296363,9.446574242,5.114546943,7.426904887,5.861019623,5.579387999,5.875163806,7.069127819,5.375592796,5.114546943,5.889170664,7.069127819,6.920197559,5.742578166,3.324966723,12.74709158,12.77976539,11.32093572,15.28878142,5.832308327,13.27279149,6.920197559,6.651010926,8.745468374,15.78373217
A13E,Basal,12.89793163,13.90086917,12.91272593,14.71551117,12.03183589,9.599494413,10.42350782,4.563071004,12.61597192,9.679918329,9.679589622,11.328113,14.09461428,5.863165783,14.67838201,4.014705657,3.294322947,10.55260855,6.644820194,12.7429211,14.1836096,9.97601315,9.626007693,10.96802742,9.30821053,6.275305721,5.675474452,4.976682211,4.393858621,10.86251434,5.742468758,4.755003112,7.329108812,7.615563881,4.71450375,9.849642462,12.10813467,10.34753774,15.83526971,4.202129249,10.5899935,7.558072798,9.250512389,14.25554523,7.972931469,6.20395892,7.558072798,11.15638462,7.796216986,7.614188576,7.284845669,8.317747293,8.679753984,3.450442149,11.36598961,11.1302831,9.41829651,8.546222343,11.79481394,10.03141735,15.68515469,14.50141282,5.560217007,7.13945452,10.54342511,8.812198514,9.099467971,6.420855353,6.741209313,6.819675959,5.12310925,6.430264267,7.830967965,7.691865165,10.92873643,11.72326132,12.12983202,7.697071107,10.90699841,10.68982648,14.09138998,14.33904882,5.664885817,9.613672498,17.79641892,11.3551218,5.059857694,5.283981003,16.26773503,8.075432822,6.491469417,6.41454848,4.906506917,14.33832017,10.28969978,3.79924595,12.92781989,13.27963633,10.70686255,8.854164335,13.13303165,9.816839093,11.93001516,12.08119931,8.223482707,8.255593474,9.397660718,5.560217007,4.504889933,16.4997424,9.755471038,10.06477447,14.21427163,13.93767239,4.301176618,7.792573815,7.385015102,6.971321019,5.537179471,4.273564387,3.946399644,7.682709318,5.548744223,4.724735672,6.984154566,4.301176618,7.210344555,3.498940667,7.843933449,2.64616662,2.602445243,4.968094715,5.051752644,2.883858178,8.366755463,4.915467784,11.62860688,8.764642882,9.02379803,4.897490043,4.71450375,7.446583642,5.899749551,8.713540776,7.945853065,6.573015766,3.818482169,3.739948766,9.286789275,7.104619145,5.290883863,5.806489622,7.39945822,4.574430866,5.908752357,10.00935339,2.919927432,6.232922403,7.933775639,2.071930526,5.12310925,6.829190882,4.985218893,3.719628782,5.091830083,2.602445243,5.675474452,5.767429503,5.043601803,4.328270279,7.370425926,4.79439655,4.245413347,5.599668158,13.83142114,13.82393012,12.09845397,14.26268118,6.900877978,14.08633077,6.29260443,6.329946857,9.23583174,14.9027758
A0G0,Basal,12.30772644,13.29032468,12.3006248,15.06619095,10.93392989,10.40287111,8.422631356,4.880634956,11.27174237,9.187242252,9.017445598,12.37350368,11.60567712,3.485775339,13.83085198,4.222740933,7.508964966,10.54426822,6.736512386,12.34525261,14.41900152,7.872994894,8.362064892,11.64583349,9.111348902,7.312088419,6.885705946,8.009337295,4.661625174,11.71477213,4.997674377,6.865314157,6.079615991,8.881904376,4.285476688,10.50361479,12.00132918,11.97272206,14.86605601,6.87554608,9.454548781,7.45540169,10.24510875,17.80685525,9.584977017,4.997674377,7.226742864,12.43964843,8.546271133,8.715306296,7.385523865,8.236699391,10.47277611,4.345597681,10.8000019,11.30382486,10.67376883,9.951870688,6.367512457,3.940341202,14.73657817,14.75496697,6.964507513,9.566148755,9.674135233,9.45284145,8.513886046,6.114592129,6.061804715,6.557436324,4.796977027,9.299793991,7.821000256,8.260318391,10.66642125,11.490568,11.93713911,8.155054126,11.45902094,10.3751948,13.87502823,8.121056793,5.576377888,8.912040094,17.84319752,11.70440584,4.403313179,4.661625174,16.3830816,5.300743445,4.920712396,7.502377306,4.997674377,13.07233716,9.967500037,3.860170854,11.23347105,14.22783521,9.721700916,8.362064892,10.66642125,9.107013226,12.29372649,12.00220495,8.523678131,8.624189368,8.539852012,5.601252556,4.75325565,15.62306301,8.446849827,10.23818696,12.65356515,13.46141104,5.07073784,8.562195081,5.673402342,5.238682477,4.796977027,5.696672121,4.016290056,7.392665934,5.330800679,5.238682477,6.713881411,6.262269297,5.696672121,6.619631086,7.281634622,3.940341202,3.685084147,4.920712396,4.75325565,3.485775339,9.269076769,6.043770792,10.73053557,7.057317324,9.457957395,4.345597681,5.206621268,8.121056793,7.075183745,9.091734921,8.37293953,7.995330437,5.07073784,3.775281956,9.481594823,6.518790396,5.140278773,4.51224755,8.415636457,6.758793833,6.607404783,10.23222745,3.485775339,6.690889769,6.91576318,4.796977027,10.60855541,6.736512386,8.401544086,6.097210051,8.271984452,6.582636878,7.515522682,5.238682477,4.016290056,4.839412294,7.202563051,6.492439069,4.661625174,5.238682477,6.182098949,6.544669028,9.040364191,13.92460569,4.563777851,13.51147886,5.330800679,5.910796927,9.333586702,13.66120938
A0SX,Basal,12.03929314,13.01080713,12.08140704,14.62003263,11.47152721,9.729650193,9.633434878,5.180149438,11.48655542,9.43352932,9.316827115,11.17706485,13.66660107,6.25596522,13.81371968,3.89409838,6.785722219,10.50285576,5.374091321,14.74155415,15.63793627,9.312098901,9.12122872,11.99240756,9.763813968,6.865339387,6.121904297,5.02699265,3.89409838,10.65856262,7.263332189,5.592589826,5.809401215,9.313282408,5.528813915,9.255349604,10.81296162,13.47922565,15.20921814,4.980071603,10.08045158,8.535928312,10.01722144,16.48592006,8.552059242,5.094631367,11.06208865,11.25611908,8.872583059,10.40522681,7.497919908,9.030594887,11.47205717,5.138023962,10.86715372,11.00537135,10.75229755,9.254117585,7.960565288,6.474836294,15.18675301,14.11018474,6.826079956,9.052021445,9.137355893,8.544016322,8.288824309,6.332671393,5.653665403,5.683260185,6.089114362,8.885371575,9.176902318,9.430260372,11.22846969,12.06340807,12.49681352,8.941557174,10.2144437,10.01212872,13.41748838,14.61455267,11.33135766,9.191135299,18.12899326,10.17787722,4.719419848,5.180149438,16.16438858,8.571972533,7.770292178,7.632961009,6.865339387,13.16854806,10.17267011,4.364989114,11.72443289,14.26778398,11.45365996,9.94880979,11.43312111,9.644761296,12.78716036,12.44983113,8.595511248,8.78486931,10.98100279,1.520639984,3.553061462,14.60473869,8.94002565,10.75621911,12.8146863,14.62427054,5.92539451,9.498440266,5.200759718,5.280376886,4.855624232,4.470599302,4.906698416,7.041347943,4.536941796,5.072435621,8.609066871,4.719419848,6.81943158,7.632961009,8.207140511,4.931573085,5.072435621,4.747708893,4.802675352,4.038488289,9.649454517,6.431895772,11.99166852,8.298418326,9.469007216,4.747708893,5.40993652,7.586729174,7.420957926,8.173647872,7.502077533,6.066832915,6.722986463,4.210955485,9.598912113,5.986020869,4.661121208,4.436247797,8.535928312,6.009575597,5.62345079,9.451914738,3.842568079,6.772014799,6.940791615,4.251032924,7.749458675,4.327994906,5.712260057,5.180149438,8.02265806,6.04420194,6.25596522,4.855624232,4.401058368,4.470599302,7.594538098,5.697832986,6.132670728,4.569003006,11.5161502,11.54035706,10.33762361,14.00415807,6.174950531,12.8686136,4.931573085,5.40993652,9.813170779,14.80529323
A143,Basal,13.39097109,14.389816,13.42227775,15.30560608,10.14690093,8.960775262,10.43103767,3.699898307,12.92656542,8.639763954,8.783455412,11.21274054,13.34858385,4.854109966,15.08134937,3.386983955,8.095274313,10.40114925,7.092024353,16.76495857,14.15332658,9.3201743,8.286032438,10.58175785,8.594276991,7.82699812,7.426680959,7.528056896,5.011339894,11.61861208,3.990135402,6.086271208,7.587912249,7.926947707,4.879169815,10.37393808,11.18842101,11.66531283,14.24047969,9.744962046,8.589133205,6.356079142,9.099564505,16.30218556,6.842780435,5.405583633,10.34226683,11.81619158,7.002814023,8.164617534,7.659399838,8.928127475,9.25191978,3.762805058,12.110577,12.66787511,9.887188341,10.83116059,8.174050504,6.453445637,14.12120425,13.76293655,7.140946712,8.26513566,9.066634504,8.42074988,9.549192319,6.874281578,6.237889941,6.294872611,4.67353772,10.22647111,11.37702411,9.174502462,9.68760173,10.43715271,10.75717358,7.822852442,10.68014133,9.912443802,14.17539184,11.57261391,14.47664519,10.82190071,17.74970586,11.0235584,3.304815414,4.846869323,15.97820458,5.860415855,4.174954278,7.304485089,4.705913722,10.45935536,8.844031047,2.267340708,9.434777719,13.40901093,10.13728816,8.210119759,8.66571474,8.747455165,12.45192713,11.49996901,7.455529811,7.574276089,10.51123051,4.776207763,3.272754205,13.69753777,7.631228438,8.698516234,12.97273275,13.35338213,4.760880181,6.517550065,7.494857132,7.195408201,4.832278098,4.924585273,3.600075558,9.636158936,5.400647119,5.425162493,7.031838205,6.018607895,6.629383391,2.999960832,9.465536471,3.396933616,2.560786427,5.246857236,5.099278888,1.478844814,9.780073747,5.306135959,14.23133679,8.164617534,9.029541635,4.802645323,4.850494187,8.259011724,6.790902665,7.732922456,7.473271724,11.03415603,3.600075558,4.280836551,8.617864542,5.872945543,9.831647813,4.476500873,8.900417873,6.580018983,5.375707949,10.73785433,2.90554523,9.386905953,4.981896117,2.834110092,7.058723955,7.214521712,6.567959911,5.147223323,8.739168694,3.625686202,7.986227608,6.564653504,5.340052594,4.066926656,5.700902619,7.119324521,5.956051134,4.832278098,10.80536185,10.79505287,12.01859531,15.72012092,8.151821118,13.94263123,4.109903729,6.511838676,8.355919755,15.11646799
A0DA,Basal,12.34037164,13.35985995,12.39320002,14.85705425,11.37053229,10.35699428,9.909424767,4.706588332,11.58968413,10.04351398,9.730481999,13.17391354,13.2895019,4.545225344,13.23844422,4.063209145,6.311764054,10.20757244,5.967713148,13.92058615,15.52610429,10.88823361,11.26563658,11.38327305,11.00649893,5.515033315,5.172251904,5.616021122,4.736802945,10.66066152,7.921601223,5.58313776,5.791804334,10.14698515,3.74425875,9.112652702,10.10922823,11.19818696,15.69812143,4.970894395,12.22353899,7.362303606,9.0687873,15.57663088,8.132320432,6.15277453,7.838703795,11.86795353,9.172597336,8.920367623,7.128764367,8.303586558,9.797862787,4.611951458,11.07110518,10.89578536,10.49210567,8.518842053,7.739603389,5.247633716,14.36011587,13.25920661,5.258088074,9.240731642,9.680350225,8.239083413,8.915422648,7.910046395,5.425116678,5.434364755,6.066186845,8.536126514,9.445556279,10.27443378,12.88151401,13.75128602,14.18498881,8.665455551,10.22166235,9.910667756,12.1251549,13.1380583,13.55149747,9.041056724,18.05897119,12.16380633,7.27748812,5.702766621,16.614399,8.156271974,7.388709743,6.356234202,7.154174525,12.80898763,10.64182355,5.702766621,12.21148612,12.95995436,11.59175205,10.36759347,12.00082007,10.90288145,13.28239767,13.12526644,9.204028355,9.288685499,10.58274793,4.90589714,3.620079339,14.01334927,10.83663448,10.21127598,13.4069363,14.45619177,6.28133702,10.10380455,7.176391635,6.196913959,6.585215075,6.118760498,6.818538176,6.3803601,6.589360754,5.172251904,8.207066675,5.523724275,8.645685526,6.959729204,8.197593034,4.660045746,4.263286981,5.935508796,5.798981936,4.382750647,9.21614343,6.404089171,12.85307956,7.369553345,10.00640204,5.624126172,5.902569123,7.467400668,7.192832782,8.212452384,8.489196592,8.250908848,5.415808936,3.802557391,10.44369704,7.53343943,5.523724275,5.820302941,8.105071903,5.827340491,7.347693911,10.40305915,4.420470313,6.910874816,8.818096647,5.648171646,7.733997054,7.233134147,5.183264897,5.258088074,6.141525389,6.432058287,6.975653152,5.915835377,5.289004151,4.263286981,8.982367966,6.19146982,5.368347582,6.914183751,11.15321217,11.13542482,10.40040713,14.2396296,6.867153439,12.28991988,5.069158411,6.408788508,9.77210776,16.00722235
A0B3,Basal,12.43769722,13.40588893,12.46447955,15.76657175,11.05877539,9.862489285,10.07588598,4.859708989,11.64349544,9.238391862,9.440956074,10.45760061,12.33474182,3.805261205,12.87679232,3.474055296,5.679730323,9.439467225,5.438722223,13.84456694,15.48224669,9.386365198,8.501426268,11.2126924,9.212474488,6.346407473,6.003674763,4.709683545,4.074447838,10.35551468,6.240958175,4.859708989,5.920738422,8.851895534,4.962802482,8.549146213,10.14967093,12.10775368,16.14573189,4.352749,10.49678105,7.793654585,10.53422823,16.64463157,7.517038467,4.192284328,9.716461113,11.52073927,8.228942799,10.17940898,6.899237353,8.768972439,10.42637383,4.962802482,9.442443389,9.925532318,9.189629875,7.956570528,6.141910806,4.49713891,13.99239118,13.175222,6.051240447,8.737816684,9.400207794,7.488525779,8.581905124,6.704734329,5.314274852,4.962802482,4.995592417,9.460172583,10.698835,8.978265599,11.52986251,12.45161221,12.98943721,6.49140254,9.109510133,8.655568272,13.04053905,14.0640688,9.334441452,7.989500803,18.34661693,10.80439394,5.089714594,3.946123741,16.27626545,7.237535409,6.714615841,6.199339086,4.402502035,12.43788364,11.21921454,4.352749,10.98108261,12.56177476,10.65845078,9.107636502,10.66674582,9.98695502,12.71838076,12.44216463,8.817921554,8.792488771,11.22138205,5.234104504,1.979290605,14.53080225,8.688531104,9.687904254,12.75699424,13.80811227,5.027653626,8.186970528,5.390223706,4.786645527,5.365349037,4.3012187,4.628383443,6.654285306,5.149215606,4.13456883,7.830471768,4.823639734,6.643980298,6.950311538,7.793654585,4.13456883,4.929249922,5.365349037,5.438722223,5.027653626,9.092559213,5.971070098,10.44578425,6.44467149,9.463106382,3.946123741,5.261325972,6.864154894,8.526886253,7.572427037,6.855249341,7.244372839,6.44467149,4.13456883,9.024677974,6.855249341,4.995592417,4.011712082,7.539449714,5.638800059,5.987464536,9.063857436,3.877410991,7.977239865,6.49140254,4.011712082,7.835008548,4.929249922,5.971070098,4.352749,7.594000449,6.384045131,7.23066542,4.669606106,4.929249922,4.669606106,6.99963925,5.508543673,4.823639734,3.564253105,12.03691318,12.02827278,8.186970528,12.77687845,7.687277132,11.56715334,2.607321827,6.468226218,8.404029505,15.10650822
A0I2,Basal,12.52804071,13.51862872,12.54183859,15.17506921,12.24754323,10.32374249,9.838145273,4.747697338,11.78483823,10.1568492,8.982733969,13.69190415,13.6975035,5.197863061,13.20937853,3.727233236,6.772875901,10.44539912,5.563734504,12.03479187,14.12148155,9.519047307,9.355340228,11.33962786,7.223659062,6.821951893,6.160192643,4.089803315,4.620318032,9.688724274,7.719483736,4.152539071,5.928867097,6.942246127,4.152539071,8.613365271,13.30039349,13.81071256,14.07111689,5.910833174,8.934456779,8.330965541,9.937243519,17.30151927,7.862392819,5.007341155,9.758451967,11.8385925,7.245408645,11.04167082,7.465228959,8.472931567,10.77879178,4.620318032,10.36572087,10.35825434,9.370264793,8.748966758,6.144844679,4.480593268,15.94984704,13.90440358,6.372737279,9.845284397,10.03101398,10.29968986,8.240001912,7.6613453,7.507843303,7.682758607,6.277430318,6.097796106,6.569493773,9.072670165,9.41733101,10.27522941,10.69565318,8.371089426,9.302718458,9.467544062,15.5342776,13.84643376,11.2252561,9.03362048,17.51442162,10.36406498,3.727233236,3.807403585,15.83122348,8.432421269,7.833964411,6.906289249,5.007341155,12.46107175,9.376848695,3.352837721,10.5983024,14.26885538,10.83426345,10.04864599,10.9375219,8.907426573,12.95075232,13.30784177,9.868829514,9.8896965,11.4055064,2.68541306,4.270375561,15.96368314,9.789626365,11.1670938,13.18097421,15.23405084,6.032578447,8.494282623,5.07368365,4.706474676,5.007341155,4.575230142,2.057381838,6.557952151,7.003091682,5.105744859,8.806184577,5.492767982,7.208975016,7.655941942,8.46368349,3.955502224,4.747697338,4.97298965,5.339417205,3.727233236,9.881617386,6.942246127,8.005217983,8.769127017,6.831569896,1.76787522,3.241806409,7.471394331,7.560846224,8.377669574,6.625856216,7.179150801,7.913099781,3.955502224,9.854748605,6.557952151,5.284450746,5.757821556,7.465228959,5.167805827,7.734941331,9.110690682,2.298389937,6.474467166,6.942246127,5.197863061,11.88205134,5.817118739,6.332659839,5.516813456,8.384219847,5.653232654,6.732376539,4.706474676,5.892570968,5.609177474,6.486693468,5.366134544,4.937800222,3.955502224,7.301853792,7.245408645,9.880459525,13.89883897,6.319049408,12.80076277,6.546317451,5.910833174,10.61301675,14.86746046
A0RT,Basal,12.23038019,13.23947114,12.29214902,15.01183146,11.63119275,9.569725878,9.346743711,6.075925705,12.02664673,9.972149375,9.799478232,12.11439002,14.61510594,6.415283606,13.87159766,3.705362835,5.888962773,10.12538319,6.227131509,13.51634753,16.29365584,9.266950827,9.414495894,12.76536388,9.731530549,6.138322242,5.518594323,5.145935426,5.019023314,10.21587271,6.389861009,6.138322242,5.942402032,9.011750079,5.942402032,10.18572029,9.350043186,14.94535339,15.28485388,3.620473937,9.485222865,9.712430159,10.94703961,16.70210363,8.869551467,4.130668669,13.3035217,11.90068231,8.345917661,11.35148434,7.039604191,7.273047344,11.39366311,4.24850516,10.02471239,10.89603413,9.148780044,8.651558967,5.755988908,3.785533183,13.41148879,12.93521165,7.314172077,10.02883585,9.786142301,10.58975143,8.065927778,5.2342913,7.835823081,7.895751939,7.031407038,7.578894833,8.50829457,8.081891372,11.40163492,12.3693783,12.89582249,8.008621718,10.61465592,9.912028383,12.0630405,15.27772471,10.11281271,8.517127424,17.85515758,7.399447058,3.861482037,5.2342913,15.78379007,8.401038558,7.758474171,7.89122938,5.17599266,12.0199299,8.969470275,2.276519536,11.0146118,12.93438761,11.93596661,9.704718631,10.0205771,7.948944878,12.43609982,13.14824711,9.565474318,9.640148898,11.76760176,6.28343895,3.434060813,15.29604344,9.088820281,10.64183252,12.97702595,15.26325043,6.376979718,9.453363951,5.290325335,5.262580345,6.350866877,4.506817155,3.219936008,7.578894833,5.17599266,5.69502089,10.66122028,5.541864102,6.53608175,8.264330127,8.818062967,4.002344572,5.290325335,4.067932914,4.130668669,5.317546804,9.867826099,6.70020113,10.31712539,7.692423779,9.219034041,4.765904377,4.804898508,7.60121938,8.239637922,8.522986092,7.748507326,4.24850516,8.580300284,4.642169008,8.549059604,6.091779656,4.24850516,4.190789662,9.08486498,7.216324754,6.800081492,10.30016728,3.530276128,7.617738969,5.518594323,5.541864102,6.679367626,5.17599266,6.603985814,6.091779656,8.605367045,6.512717757,7.223538244,6.059895595,4.985470754,4.684604275,7.079905556,5.051813249,5.518594323,4.642169008,9.923147475,10.01539128,8.444902373,12.80797598,6.911470172,11.98533815,3.099641774,6.838174663,10.09522461,15.16922288
A131,Basal,12.66982042,13.65460796,12.68281373,14.74338799,11.16814307,9.956223985,10.88817441,4.008102189,12.7289428,9.468360172,8.925060481,9.54295269,12.58085814,3.417065174,13.72305474,3.854751412,6.104806271,10.58101733,6.005068129,13.39044467,15.36981103,10.36580203,9.17499313,11.77210955,10.07346741,7.123113043,6.762540603,6.603132386,4.927065617,11.54550006,6.715055214,5.483971832,5.910945951,9.78416193,4.735336245,9.205050364,9.980370072,12.50079695,14.83954916,9.275990444,10.7322434,7.406756074,9.873380595,16.75616287,7.156311709,8.165173081,9.509086297,12.38420021,8.454803249,8.779952266,8.193435735,8.435775963,10.67445302,4.597100203,9.705040501,11.33388948,10.1292221,9.677672121,6.677433915,4.660178885,15.94361084,15.41004383,6.711336925,8.185417029,10.30017244,9.429283048,9.662828464,8.339094366,6.856435819,6.925461731,5.466431251,9.56938211,10.40890989,9.231252129,10.63353477,11.44174899,11.8461408,7.284461223,10.43450791,9.780617767,13.15196769,11.59085298,14.14734182,8.002788389,17.76684241,12.03126247,5.195433467,4.806771383,16.46775981,6.74081831,5.625037079,10.5454348,6.769709289,12.00559006,9.924056867,4.146707427,11.28735185,13.67378146,9.905871394,10.02486367,10.78626216,9.571434673,12.36206443,12.0155182,8.056531821,8.17330478,9.116450932,6.554153593,3.135652238,12.78391302,9.834169929,9.13807781,13.48650644,13.67976961,5.394055195,8.337889107,6.762540603,6.935058407,5.466431251,6.029163804,6.070386467,8.626518539,6.154943577,4.749909046,6.696367193,5.501301711,7.651473357,5.87150764,8.277562864,5.796279009,4.07906871,6.04697508,5.878156016,3.488323857,9.318161193,6.081951219,13.82971541,8.125210492,10.34435557,5.073286357,5.817187999,7.767025204,9.151860528,9.062016665,8.10551469,11.31103865,7.068934333,4.273155762,8.969320825,6.91580079,8.859378809,5.509889207,7.863991412,5.789241458,6.751720339,9.717605989,3.958774476,9.592812095,7.835238038,4.47960664,8.005827242,6.9222486,6.718763943,4.293193515,7.620087863,6.182062703,8.055065668,4.764336117,5.084827979,4.273155762,7.042542834,6.591042692,4.547912653,4.628984264,8.032892664,8.020926229,8.790563617,13.53388617,7.887247794,12.73089537,5.910945951,6.66979048,9.126258074,16.41447916
