,Label,RTN2,NDRG2,CCDC113,FAM63A,ACADS,GMDS,HLA-H,SEMA4A,ETS2,LIMD2,NME3,ZEB1,CDCP1,GIYD2,RTKN2,MANSC1,TAGLN,IFIT3,ARL4C,HTRA1,KIF13B,CPPED1,SKAP2,ASPM,KDM4B,TBXAS1,MT1X,MED13L,SNORA8,RGS1,CBX6,WWC2,TNFRSF12A,ZNF552,MAPRE2,SEMA5A,STAT5A,FLI1,COL15A1,C7orf55,ASF1B,FUT8,LASS4,SQLE,GPC4,AKAP12,AGL,ADAMTS4,EPHB3,MAP3K1,PRNP,PROM2,SLCO3A1,SNHG1,PRKCDBP,MXI1,CSF1R,TANC2,SLC19A2,RHOU,C4orf34,LRIG1,DOCK8,BOC,C11orf52,S100A16,NRARP,TTC23,TBC1D4,DEPDC6,ILDR1,SDC1,STC2,DTWD2,TCF4,ITPR2,DPYD,NME1,EGLN3,CD302,AHR,LAPTM4B,OCLN,HIST1H2BK,HDAC11,C18orf1,C6orf192,AMPD3,COL6A1,RAB3IL1,APBB1IP,PSIP1,EIF2AK2,CSRP2,EIF4EBP3,LYN,WDR76,SAMD9L,ASPH,RBL1,SLC43A3,HN1,TTC39A,MTL5,NES,APOD,RIN3,ALCAM,C1orf38,PLCD3,BSPRY,NTN4,IL1R1,EMP3,ZKSCAN1,FMNL2,OGFRL1,IRF5,IGSF3,DBP,CNN2,CAMK2D,SIGIRR,AKAP9,ICA1,FGD5,DSG2,E2F1,QSOX1,TOB1,CSF3R,SHROOM3,CCDC80,FRMD6,CXCL12,CCNA2,TIGD5,ALDH6A1,POSTN,FZD4,NCAPG2,SDC4,SNED1,PLEKHA4,KCNAB2,SH3KBP1,IGSF9,DNLZ,S1PR3,PTPRE,FLJ23867,PLSCR1,LMO4,IFITM2,LRRC25,TST,NCF4,NCOA7,IL4R,CCDC64B,SGPP1,RUNX3,SLC5A6,IFIH1,PREX1,PLAUR,CDK18,SLC43A2,GK,ICAM2,YPEL2,CBR1,MEX3A,ZNRF3,PTPRM,C1orf162,GAS6,C1QB,PVRL4,CTSK,MRVI1,LEF1,PLCD4,ZNF37B,MEGF9,GINS2,FAM13A,CPT1A,SNX10,TRIM45,ELP2,ALOX5,AMN1,CERCAM,SEMA3C,KRT8,TP53INP2,JAM3,ZNF680,PBX1
A0FJ,Basal,4.362183305,7.533461452,3.956124173,4.457170455,2.256817014,6.01794033,5.006907244,3.217812276,4.734446418,5.099598165,4.56028856,3.991981863,6.416244038,2.468115151,4.583977659,8.076607106,8.300742106,3.118577428,3.928633521,6.432645724,5.914301022,3.765566342,6.033795625,6.028050237,6.549551025,2.206834046,3.971173292,6.774674166,2.925153753,4.350721151,4.091747103,5.522137603,4.980376479,3.310659195,6.712001965,5.266814525,6.684416454,3.705641076,7.462816521,3.365132619,5.270468936,2.65745375,4.769302841,6.008488766,2.449666487,3.513424245,5.669654616,5.560454846,4.904011849,3.672879062,7.080746856,4.888241656,2.423645474,6.273608686,4.669500452,7.206889544,5.199400122,3.529780247,5.691627249,1.610806574,4.038446198,6.754878929,2.994438207,7.13320397,1.245304626,7.587197139,3.557964177,4.748490148,7.384323448,6.532404866,3.379958891,6.179561531,4.885067037,2.722932417,5.745138097,7.327861709,4.038446198,6.62150946,2.890616725,5.629429782,6.666499272,8.317325277,3.267422781,5.377138027,3.428742936,6.057256501,4.091747103,3.450383789,8.772796719,2.397146503,1.999338384,6.402987059,3.59729499,5.838366063,2.739762487,3.628005294,4.671344729,3.565916719,7.11284984,4.80333694,7.746416067,6.61808111,2.581035296,4.055491514,6.889232887,2.778740486,3.277143563,6.038089671,3.849402632,3.712821781,4.248195876,0.479435546,6.263864078,3.428742936,6.459574179,7.341823841,7.822376538,2.05690048,6.770809078,2.744114088,8.295968831,5.590976995,4.105452357,7.516891267,5.724859535,5.677016073,8.907485299,5.56542167,8.024177256,4.353319685,0.337993625,6.439154559,6.221699392,4.534178807,4.942699498,5.332617792,3.102264633,3.59052814,8.912077108,5.346395794,5.911183032,7.131195522,3.348032649,5.672419547,4.737969967,6.579811491,6.66464894,1.303537493,5.301747197,4.784717448,7.836621258,5.33005188,7.679652665,5.178805249,1.641234227,1.322436529,1.359510763,5.397334182,4.583977659,4.829997597,3.257636057,3.496881376,7.285513009,5.485921743,4.469941107,5.449847994,6.268135439,3.639355108,3.252718095,3.824394844,4.411562276,5.672658985,8.175100654,4.684187556,6.214128911,2.305126124,7.660051575,5.69071843,8.139240478,6.317840261,2.370150172,5.093353049,1.987545931,3.80641626,5.340520364,5.353212702,4.849088339,6.191176262,4.591788476,3.150658118,6.581283446,2.65745375,4.015401079,5.155279015,7.709124974,11.19690627,5.564429738,3.991981863,3.352637462,7.880923009
A13E,Basal,1.984492314,7.455193756,5.427623064,5.440957359,4.028813283,4.341692279,6.178668457,2.864658523,5.411029305,4.211396763,5.139333406,3.761482313,6.610628345,4.982935207,5.172496311,7.298563131,7.908037805,5.185933304,6.268468461,6.727140709,6.963385394,2.459408723,3.943236188,6.286400615,5.862749303,2.196590181,6.640911784,6.378307385,6.61625769,4.654960178,2.420963588,2.471998446,6.003824675,2.453070933,7.621411139,3.871395806,5.526432966,2.586428748,6.521455784,3.888191736,6.250767423,2.455102473,5.518868386,6.895198234,8.528770276,3.316031929,5.470276983,4.362128205,7.469587969,5.283801256,7.572191933,5.413479172,2.150338566,5.049782982,3.737018265,5.94011721,4.883026424,3.41063115,5.3720949,2.5030032,5.080940001,6.360028649,3.333386313,5.462411331,4.697343036,8.750541517,7.255515616,3.523799439,6.731728816,3.577219505,4.557904156,9.224546348,5.921304204,2.204156062,4.738099479,6.708640885,2.234030676,6.832103832,3.785739196,5.140536705,7.214894232,8.290903101,5.032886565,4.620032421,4.872380615,5.680835485,5.180189942,2.219171571,8.27818928,3.483949483,2.27052574,7.587821866,5.108417333,4.99522092,5.244860254,5.865137669,3.367480301,4.499144044,7.629527842,6.067950913,7.177938382,6.200111501,5.062326504,4.056246934,5.661041103,3.681182943,5.030760438,6.690574202,5.203971153,2.551263557,6.04706597,2.061488825,4.65771835,4.064584058,6.987153711,6.042324861,6.994808441,4.030942031,6.251680512,3.949912243,6.73956044,5.032886565,4.701144809,7.453607565,6.46785461,3.298466242,9.630584523,5.286476775,8.354969846,7.449435415,1.314330143,7.319614553,6.318998602,4.377267002,5.972599465,5.833159817,4.238620504,3.654947895,9.206471236,4.428746506,5.984731522,8.257883865,3.149668854,2.592206724,2.681645667,3.614607383,6.255326888,3.577219505,3.90653476,3.073226482,7.300549765,5.338111083,9.019308279,5.049782982,1.975676253,4.445888986,1.903151501,5.90340499,4.113620629,5.766376092,2.465717318,7.273608432,7.129203501,5.183064481,4.04786135,5.419179339,4.843601931,4.738099479,2.07805618,2.300553846,4.680951208,6.576977191,8.028205553,3.873770329,3.606065113,2.381465847,5.107409001,5.557778129,7.816676991,5.907466168,3.556679385,2.053134233,1.003441751,6.059111739,5.292700355,3.639934196,4.924027709,6.139249068,3.981164498,3.280684881,7.150755086,2.979337402,2.948135332,6.071057764,6.657197217,9.584007147,5.923024663,3.343698653,3.637142108,7.807081873
A0G0,Basal,1.727322865,8.079968238,2.227300245,5.543480463,2.629855285,6.363029721,6.039562606,5.946027971,5.651670192,3.304512956,4.446449734,3.845990045,6.41364024,3.202416581,4.237573759,7.989698927,7.192957106,4.525044964,4.723262175,6.343884677,6.158463479,4.113687546,2.921464961,7.289927631,5.954116797,2.974987176,3.677014743,6.777360097,4.567202074,2.501354197,3.425056497,2.568867679,6.026613723,3.723842813,7.089794359,4.795504001,4.255898315,2.958298298,7.143989645,3.813172301,5.1759344,5.329553432,3.748317984,6.526433015,4.932814753,2.804960277,5.701823395,6.436915358,9.981116912,5.53787534,7.176668312,7.605402766,1.804044996,5.813103563,2.94141507,5.256065456,5.094911703,4.876934676,5.739750989,2.213301346,5.569353144,6.214210642,3.692232837,3.532303655,3.76285399,6.682329511,2.410216277,3.773975089,6.711252714,7.956384237,3.431117094,8.160899753,4.089625264,3.180808247,4.961709019,8.188961294,3.007794857,6.545635881,4.99481729,4.178365598,8.31869741,8.325694468,5.39172103,3.661633823,3.139460717,4.541010378,5.758748924,3.251003261,8.115994417,3.280390929,2.850889049,6.099451371,5.095547744,4.506989696,2.015951213,6.485526212,4.65499925,4.378038893,9.682278932,4.36859733,7.389873905,7.043736807,4.36015228,3.717245513,5.940728068,2.969445008,4.044221195,5.605080892,4.490641155,2.67140438,5.488363751,4.987982024,4.525988994,3.61448322,6.892369044,6.654758013,6.018922384,2.46637314,7.238878259,1.22062497,7.282684707,6.30728818,4.623591476,7.310482322,6.738793305,4.605842698,9.415485883,5.22733371,11.66053976,5.841785378,4.149657229,7.733418415,5.810804571,6.682117795,6.233211038,5.595053628,2.991484272,4.128693021,8.771594729,4.70392954,6.402888528,8.044584759,4.803311929,5.533187845,3.166350223,5.521401877,5.616648442,1.65322182,3.109544511,3.234926844,10.07477384,4.985238917,6.809117644,4.318260606,2.075660409,0.777055624,2.00157934,6.665078812,4.099805959,3.924752537,2.674813294,2.308546657,7.471200432,5.304183877,4.438449902,5.555550517,5.580301135,5.965295855,1.853014855,2.590003036,4.606735327,4.772952569,7.968327445,4.989351623,3.974010359,2.886608529,3.216332634,6.184418077,6.319045912,6.559311989,1.957475334,4.518419402,1.75978895,4.356972734,5.015130446,4.453413382,4.350443093,6.50408995,3.073838801,2.54298653,6.430627692,3.373541465,3.063472981,5.737307649,3.978155153,10.42379642,5.980527049,3.289314162,3.633879465,7.441712482
A0SX,Basal,4.363995788,5.793750193,3.544865686,4.737114163,4.269100848,4.001104181,7.087632553,5.007565168,5.902449338,5.479451092,3.757739701,5.226034638,6.018761566,4.297181192,4.245987375,5.414648437,7.556347303,7.250849584,9.427283657,7.860616296,5.547141271,4.798416686,5.478289029,6.577661031,6.462345732,3.832052952,3.985683344,7.329305613,5.590292132,7.480536379,4.352018758,5.068852337,5.735936455,3.471480003,5.672341376,4.683642222,6.77647848,5.034792738,6.986090573,2.456964046,5.618366832,4.976205219,6.217994227,6.301325765,5.267471187,5.118479939,5.569035838,5.422687128,6.638584067,6.544365923,7.047720662,6.834659012,4.896506684,6.49719801,4.620144039,6.042058176,6.850069473,4.985251674,4.515574656,5.387328751,4.698853115,6.187160545,6.362303808,5.369616315,4.058215525,6.860463801,4.745378924,4.175698854,6.441867945,3.125301172,3.852600337,9.766674473,5.41003458,2.926433078,6.895337145,7.812699532,5.111392462,5.866432527,4.189225594,5.141541214,7.050131941,7.310397484,4.579632127,4.235594917,3.766789576,5.419821204,4.400504904,4.607102006,9.718452637,4.052335686,4.960222616,7.492315197,5.601772721,4.835018596,3.062833191,6.433651549,4.37941878,6.645469836,7.483392656,4.834157911,7.340997832,6.692771177,6.163528155,4.221181428,6.518344653,5.099979753,5.377909335,6.428242901,7.076029339,4.062661107,4.571391549,5.513125772,6.390682355,5.398435239,6.188326327,6.796723039,4.311773857,4.225126645,7.080754399,3.272074814,7.064882543,5.950899516,5.104983982,6.847512511,4.533714471,4.91372021,8.320376115,4.600030279,6.320506078,5.578390393,3.584305634,6.229496199,8.058856987,6.206732354,7.069826999,5.416599016,2.672773836,3.528548839,9.973982025,6.742603906,5.827012196,7.158971231,4.479697241,4.989896692,4.994526563,6.036830444,5.968656965,2.214146362,4.463056187,4.963375037,4.845307772,7.703467869,7.828669196,5.817462323,3.297552276,3.692747,3.692747,6.365286086,5.423259559,4.63998123,4.121698213,6.109417142,8.289813956,6.730266797,6.212042939,5.865855591,4.911273637,5.068852337,3.056115869,4.095947332,6.078494986,4.894394131,7.118538171,3.312462658,5.031041811,3.768593207,6.338827957,6.799812583,8.037889572,8.913549451,3.620700309,4.235594917,1.57952881,4.629104637,5.887591188,3.551165209,5.170172665,6.196051968,4.900623957,3.277429511,5.606317392,5.027280872,2.88381036,6.44045462,6.891618586,10.05694013,4.939561872,4.369947037,3.987233204,8.021252752
A143,Basal,2.447561946,7.158993362,4.691256386,4.80872751,2.442134517,7.029723016,5.936138199,5.901458981,6.641225472,5.508653788,4.244347157,3.541099721,7.088876113,5.711342913,3.95720178,8.490567383,6.418898302,3.972342263,5.881046534,6.898657716,4.821324595,5.911803286,4.682076674,6.52762992,5.678433704,2.727361953,5.177068151,5.571887854,1.79467001,4.320269939,3.435808365,2.871616041,6.217212032,3.945741731,4.956895976,5.026545433,5.962440799,3.88503456,6.520566178,3.964791883,6.441854019,6.372000155,5.387942262,5.854224512,9.74241776,7.454490541,5.744411335,7.430366706,9.454534118,4.917349587,6.823161592,6.229472403,3.896985616,2.895639507,2.293342812,5.302917486,5.237845086,6.110489915,4.363977298,4.421646692,5.181146367,7.975103895,4.597942573,5.382993905,2.531732417,9.058164104,3.57868382,3.94957204,6.999095926,4.560863647,3.748795213,9.502418047,5.02473129,3.182745612,6.368288542,4.782124881,2.749502206,7.171862998,7.199363545,3.202140794,4.676309856,8.340391756,3.433075004,5.084302913,4.355340963,3.57868382,4.575809833,3.889029256,8.100731055,3.15978422,2.984194588,5.853202505,6.121991276,6.023222723,2.174592317,4.668196957,5.794251724,4.103615985,8.599340219,5.308893419,6.451218736,7.695075516,4.193571672,3.66274964,4.987025277,3.674369193,4.993532934,3.331059594,3.218106616,3.136451465,5.175433631,2.490260239,4.842078257,3.955297999,5.41312666,5.352218143,4.914412881,3.227601147,7.413306077,2.036711719,8.319361409,4.466445038,3.533463828,5.530292719,5.144021294,7.040537724,7.23687266,5.002779306,8.959520333,6.037689104,4.353896916,7.258455686,6.093713284,5.331085597,5.48548541,5.316069153,3.610482957,5.01014294,7.976122882,6.128464027,6.577059132,8.078274634,3.806957145,2.546982196,3.651035741,4.330587578,5.867444729,1.852603229,4.417476403,3.904898339,6.53816098,5.817493153,8.523462867,5.375183353,2.33493623,4.450315189,2.293342812,7.116396521,6.189137773,3.179488442,3.12294654,5.15235441,7.182472186,4.700377758,5.10247936,6.11603905,3.548695412,6.330967415,3.402661931,3.47279581,5.03016737,4.82142903,8.055685271,3.499900506,3.996611126,2.616088485,6.881467233,6.024131149,6.47976167,6.223948323,2.64943991,2.76262508,0.566892355,1.908769835,5.76085352,6.27062491,4.71981827,7.323547951,4.150959002,4.775666736,5.903434971,3.443977512,3.883033586,4.812938865,3.298392688,8.969229282,6.410238265,3.371593896,3.264968936,8.138552592
A0DA,Basal,4.770797571,8.748060576,4.305401464,5.307480334,3.239909146,4.236539224,6.909727154,6.591108728,5.858016142,3.766282676,4.259354442,4.800017063,6.052281876,4.006989958,2.069626411,5.896195384,10.88970581,5.707062749,7.663267447,8.288076432,4.345917023,4.067373919,5.105282372,5.016684363,5.488204468,2.350277052,6.63333322,7.196339073,5.273825933,3.644452917,4.628568731,4.202317905,6.441586716,3.53211506,6.134434542,5.755541085,6.792472568,3.311005652,8.069804592,3.396258124,4.006799433,4.26436551,5.221244128,8.760579393,6.317588411,4.817666564,5.584878115,5.852730807,7.80603913,5.767293332,8.546078201,6.050744011,3.678709203,5.414469707,4.564274082,4.988847555,4.897690684,5.594409654,5.0455394,5.732704911,3.590436407,6.819450837,4.484503604,5.044767013,4.862307004,7.75607414,5.865033443,5.259025575,7.174086672,4.793962819,3.754352222,10.25092219,6.942231157,2.175024813,5.974930214,6.988951511,3.507661735,6.027637597,6.884913355,4.686301678,4.817666564,7.909568719,4.19119329,6.264510912,5.647263476,6.803928963,3.615618451,3.466731052,9.960506098,5.001639532,2.97714151,4.951425588,4.901961405,3.609364028,2.882799195,6.34042592,2.389737528,4.595197948,7.620357949,3.383657541,7.098428125,6.618876471,6.398406757,4.597306252,7.035956083,4.600463099,5.31390515,4.442900959,3.464423214,5.266994544,6.542696109,4.774529131,5.088142566,4.860429683,6.582087737,6.416431296,6.216967453,4.641908058,7.710782134,4.833431283,7.507744675,4.585671475,3.331415872,7.139237269,4.625472854,3.854706914,8.536346511,3.638322521,7.413219326,6.196251114,2.350277052,6.840212371,6.705721123,5.9300481,7.501003403,4.836977843,4.355913851,2.534392164,10.43667503,4.686242488,5.322214845,7.842270168,4.516051586,4.182793381,2.610396255,6.176643646,5.999451442,2.528791679,5.033887379,4.363366737,6.914596868,5.747494556,8.869540525,5.929629895,2.515474367,3.534317853,2.365201683,6.363217267,5.226021273,4.422830397,3.596773246,6.31438777,8.496513276,6.659803131,4.44875148,5.988649099,5.663453834,6.592694889,1.796219582,2.275562916,5.112671329,6.113822725,6.520924334,2.783335905,4.288354536,2.384864503,7.169134124,4.938178204,8.164742765,7.910840809,4.696034521,3.239909146,1.3725756,2.779627916,4.661185038,3.18488915,5.143348789,6.670356718,2.437594594,3.062031099,5.629344742,3.237207213,2.753396018,7.057173992,3.948533071,10.03976819,4.412090444,4.701925014,4.11082317,7.614134389
A0B3,Basal,3.352061818,5.098404048,0.593205645,5.217585138,3.885153386,5.917885758,8.043341127,6.532892537,6.309116659,4.113872682,4.786463235,4.257365093,7.265190009,4.635483961,3.527132857,5.026306575,10.37930147,6.916046543,6.390503684,7.648367137,4.589279916,4.759044079,5.54220095,5.84896357,5.170790187,3.768211628,6.418313665,7.021800679,3.778645422,4.680838406,3.726351113,5.115493152,7.070612026,4.103320583,4.465093228,3.60399818,5.714721445,3.795458732,5.581305392,2.187632332,5.274713548,4.87381059,4.123426696,6.754363577,6.277027411,4.541800314,4.810512002,7.155491819,6.659836828,5.36646942,6.969572061,7.124364104,3.143715304,5.085847258,5.741487471,4.872138941,5.967499169,5.653815139,4.060643563,4.632011784,3.877888417,6.158291026,5.220761564,3.718237882,3.161774817,8.879402628,4.182117696,3.691550949,5.542775445,3.065931538,2.449136326,9.945689834,5.415588801,1.581603916,6.256865596,5.077943452,4.86112799,6.680591336,6.384107743,4.367418164,5.378746145,8.026397213,3.839133818,7.983357456,4.649182998,4.830407621,3.961027687,3.766245646,9.567416821,5.055579368,4.211314184,5.527767039,6.266981724,5.47457518,3.214896686,6.292819819,4.943472358,6.110348038,7.706908181,2.168646116,6.995933195,7.934514603,4.937369583,2.973525679,8.761603878,3.957585866,5.213983389,5.301433312,4.778682257,5.774139039,5.574018452,5.352122592,5.935488975,5.529506698,4.882158819,6.183257411,5.471561892,4.013354047,7.270747972,3.965884157,8.108612368,5.500825267,4.687087037,5.917442932,4.262423415,3.979813196,8.849647463,4.882158819,7.740247581,6.275991477,2.675513278,6.323895381,6.687890395,5.442923924,5.664938108,5.800314961,4.238513732,3.038044065,9.759279714,4.094681695,5.628064482,6.986559362,3.211751147,5.184841418,3.986583775,5.800795358,5.995461668,2.792181774,4.639388241,4.137184483,6.734640691,7.296008421,7.801166555,6.750887978,3.588504269,4.164311836,3.636649403,4.900200656,5.847569503,4.321188627,2.970113581,5.280923689,8.468738106,6.682948564,4.830407621,6.735143328,3.890578675,5.715740512,2.952930082,3.57401128,3.290467918,6.011360401,6.566609188,3.295929351,4.112634972,3.879708092,7.4801474,7.694974106,7.008140028,8.071577351,5.294629175,3.161774817,0.881738355,2.966693394,4.919789438,4.280443138,4.231747573,5.236170237,4.742138983,2.983714701,5.771691101,4.55552598,1.097259528,6.788666603,5.303468435,10.20077575,4.497452762,4.04126298,2.394179227,7.177480254
A0I2,Basal,1.810381783,3.791965489,2.71916935,4.355919118,4.200248834,4.83028612,9.13036953,4.982385755,5.30448778,5.149343778,5.76425093,2.458108077,3.785271838,6.904104044,1.912196223,6.386710083,5.689799657,5.429231114,4.802932841,4.677211918,3.477314058,2.316732484,5.302926542,5.321551147,5.331540047,3.233589777,8.081128595,6.23450675,4.454897663,6.195491381,1.827857372,5.042562196,5.084058629,2.840359299,5.178184257,2.007296599,5.348288101,3.668882844,4.891817273,3.933892216,5.755145438,3.88624907,3.755902527,4.680822911,7.464691539,1.068184857,5.302145203,5.231682024,7.636610684,4.674799648,7.450130425,7.776772445,2.291762341,6.847479513,1.286139439,5.227573189,5.999302434,1.540490186,4.351394625,2.550477873,3.680953526,7.01025322,5.672317508,4.594119322,2.915882822,8.838618979,5.708735986,4.059404867,5.816614743,4.051988569,3.322573231,7.695063612,2.007296599,1.622886793,4.430739538,6.446618876,6.192121656,7.01975796,6.417336219,4.313128876,5.642382654,7.09259487,2.341279136,6.648816305,4.086881913,4.833534011,3.846569394,3.649357632,6.735572104,2.560965908,4.42357338,6.85571333,4.886615005,5.114638556,4.138424333,5.461078402,3.200431078,7.265275633,6.944560068,2.642235631,5.230253423,7.478415695,2.870184865,4.046401012,3.604433957,2.50231407,4.370898874,4.5408057,4.539480606,4.778425162,4.364925424,4.932773359,4.915508831,4.686821132,3.963841044,5.614333175,4.878252113,3.99704797,5.234960615,2.028083512,6.672889158,4.409133386,4.678416676,5.811133699,5.274530908,2.8994063,6.63738966,5.913920046,6.254029812,5.581896135,4.200248834,5.926648489,5.184980859,3.831487556,3.947945649,4.86464315,4.711744671,0.991633415,5.589574733,5.541806281,5.534094841,7.791599426,2.207486652,2.571378248,3.935908441,6.661359946,5.907256525,3.048468563,5.466667146,3.077979714,5.225102222,6.27448763,7.929518991,5.591494288,3.334849174,4.703484573,3.732896453,5.30448778,4.685623375,6.020356341,3.941939377,4.970633439,8.945586234,5.293523294,5.449835231,5.305267853,7.560742305,5.424931288,2.932092669,5.141599519,3.256355444,5.745913314,6.847436704,2.915842052,3.488345613,3.576276096,4.325484761,7.687305662,6.470806846,4.581296472,1.407335259,2.418284994,1.944597314,3.619564664,4.599216607,4.693986074,5.024155657,6.081734945,4.689213402,3.751330669,5.46387548,3.933892216,3.807463957,4.630673669,4.310023386,9.092807398,3.809664704,2.146118031,4.24646598,5.62811437
A0RT,Basal,2.094460337,6.327972592,2.357932858,4.041661063,4.126816725,4.292798455,7.591606008,5.941057299,6.571389386,7.071896154,5.127889142,5.549188545,3.852787072,5.662792668,4.268472897,3.713568428,7.858842645,7.836263702,7.521717504,7.300481758,5.102884725,5.191085888,5.801567554,5.549003443,5.53093839,4.174142867,3.778171266,7.101217931,5.269281823,5.774472347,5.173726339,4.257528613,5.33663446,3.43627785,6.016028728,4.987571361,6.87689763,6.260026279,7.472135356,2.943044161,5.921689576,5.378965078,5.268763948,7.101982889,3.325358027,5.081323679,4.904942293,4.490364521,6.358062994,6.683216874,7.556596686,5.695578477,5.876355056,6.154838709,3.762773699,4.928421472,6.552485182,5.012197225,2.943624182,4.878398298,4.873926332,6.094713019,7.622324097,5.29040243,1.158064457,8.896391467,3.879802069,4.19580416,6.675014781,4.332450799,1.073227615,8.306834912,4.771865746,2.447330574,6.708803235,5.81282565,5.139858153,6.237802089,3.441122365,5.256056625,7.030250468,7.579710027,4.69180918,6.142622137,5.840592288,5.82862562,4.947274034,4.972591622,8.864005786,4.294137854,5.963539775,7.130193723,5.554602826,4.608125519,3.537670402,6.323715944,4.079439235,8.079964469,7.032872441,3.62905229,6.711061315,6.995679025,5.157627753,3.518797548,8.03720919,7.596092743,6.090768309,6.378727503,6.044959301,4.088731328,4.413566993,5.576785015,7.126814833,5.623885344,5.559623617,5.918653303,4.724962886,5.449731085,6.498022096,4.459442109,7.816708199,5.830011399,5.40951108,6.869728443,4.332450799,4.48333591,6.215120643,4.446465729,6.043765425,6.363394094,4.924966984,5.989402899,8.358405727,6.013591432,7.703196286,5.783899275,4.362129554,3.874260464,8.427244773,5.610529083,6.145593247,7.199738424,4.696881781,4.706973789,6.147447132,6.925027972,5.40951108,2.815164643,4.440381274,5.356644769,3.155947975,6.346166629,6.846636021,7.20348565,3.588141569,4.588608296,4.739784435,6.484885514,6.554442678,4.503161738,4.79286359,7.225766886,8.54854762,6.978910692,7.428280043,5.358566504,4.207224958,5.519531682,3.176429794,5.231783406,4.965883412,5.783198375,6.680146511,4.408628898,6.405311174,5.403938665,6.71381646,8.660566097,7.825419405,7.727318689,4.231198004,5.662253411,1.8394872,4.783357094,5.664844274,4.091815278,4.545561748,7.090657933,5.512644079,3.971397273,6.331564517,4.973427893,2.74637364,5.618549159,5.727159805,8.069445684,3.743292263,4.714996683,3.878016798,6.848916435
A131,Basal,4.340911545,4.699950039,3.639055656,4.030187491,3.135696994,5.251649224,6.349572418,6.055191109,6.317799532,4.885183071,5.729459735,4.523295419,6.565390682,5.417615543,3.362445765,5.739592652,8.851887216,3.940793742,5.625379195,7.904722341,5.341710733,5.672419555,4.368924525,5.442075523,5.998304102,2.894017972,7.199352824,4.874474923,4.041821826,4.839570306,1.464077184,4.753434524,7.26022713,3.355874131,5.028081953,4.860614249,5.002012316,3.938596007,7.402142194,3.821842699,5.77389166,4.711669274,5.945114372,7.157451908,5.920830089,3.597875157,4.362382063,6.137004068,6.844239045,4.966862772,6.282281752,7.488231929,3.260575921,5.075142935,4.532299911,5.958190092,5.289213683,5.213988978,4.080881959,4.487907438,5.998304102,5.968840479,3.432828993,3.232149917,4.308945298,9.068549665,3.850176318,3.992551852,5.909094125,6.53880009,2.973443199,9.996371342,6.06227293,2.089062396,5.820580129,4.830118164,3.692195574,6.745792742,7.011943723,4.413546122,4.918623716,9.513820813,2.394990171,7.963452575,4.420223459,5.218524297,4.511753494,3.707763331,10.39077771,3.780726621,3.33263269,5.13654361,4.48489901,4.934148295,3.477227065,4.911918875,3.697403694,3.673818476,8.825090923,2.982004542,6.455021038,7.776490364,6.267038236,4.066866238,5.48787824,9.183253543,5.163137146,7.105019854,4.100671186,3.958253429,4.707713189,4.592240016,7.229998708,5.034269206,4.600603199,5.892161217,3.852512364,2.382110642,6.14750672,3.52531602,9.149629374,6.19568618,4.745914436,4.820603437,4.697352921,6.884464881,6.25514135,4.653813196,6.484854887,6.173900766,2.889474907,6.750582479,6.522020278,7.073322088,6.884464881,5.123989236,4.757180049,2.509796225,10.62774217,6.020087446,5.026013553,8.182965763,6.885035584,4.141365753,3.242875319,4.832486889,5.560411459,3.264089838,5.00198061,5.15936781,5.158424034,3.647152556,5.541712669,8.206899914,2.426692804,5.165957406,2.889474907,4.945135753,5.656463559,5.301236026,2.67392169,3.019912741,7.394555025,3.375501255,5.647746521,6.082317395,4.533756289,6.519449654,2.232290098,2.955254373,4.634937083,5.601604287,7.605412245,3.003186919,4.565432261,3.812273305,5.184620898,5.314006832,6.394755189,8.364165262,3.5894961,4.080881959,2.295472101,3.4421661,5.063805658,4.95168833,4.928102395,5.701869439,3.538173321,2.819549226,5.401168385,3.864137153,2.309143605,7.438169439,7.633702849,10.30917702,6.946197909,4.459068958,3.426570948,7.234931739
