,Label,14-3-3_epsilon,4E-BP1,4E-BP1_pS65,4E-BP1_pT37,4E-BP1_pT70,53BP1,A-Raf_pS299,ACC1,ACC_pS79,AMPK_alpha,AMPK_pT172,ANLN,AR,ARID1A,ASNS,ATM,Akt,Akt_pS473,Akt_pT308,Annexin_I,B-Raf,Bak,Bax,Bcl-2,Bcl-xL,Beclin,Bid,Bim,C-Raf,C-Raf_pS338,CD31,CD49b,CDK1,Caspase-7_cleavedD198,Caveolin-1,Chk1,Chk1_pS345,Chk2,Chk2_pT68,Claudin-7,Collagen_VI,Cyclin_B1,Cyclin_D1,Cyclin_E1,DJ-1,Dvl3,E-Cadherin,EGFR,EGFR_pY1068,EGFR_pY1173,ER-alpha,ER-alpha_pS118,ERK2,FOXO3a,Fibronectin,GAB2,GATA3,GSK3-alpha-beta,GSK3-alpha-beta_pS21_S9,HER2,HER2_pY1248,HER3,HER3_pY1289,HSP70,IGFBP2,INPP4B,IRS1,JNK2,JNK_pT183_pT185,K-Ras,Ku80,LBK1,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MIG-6,Mre11,N-Cadherin,NF-kB-p65_pS536,NF2,Notch1,P-Cadherin,PAI-1,PCNA,PDCD4,PDK1_pS241,PI3K-p110-alpha,PKC-alpha,PKC-alpha_pS657,PKC-delta_pS664,PR,PRAS40_pT246,PRDX1,PTEN,Paxillin,Pea-15,RBM3,Rad50,Rb_pS807_S811,S6,S6_pS235_S236,S6_pS240_S244,SCD1,STAT3_pY705,STAT5-alpha,Shc_pY317,Smad1,Smad3,Smad4,Src,Src_pY416,Src_pY527,Stathmin,Syk,Transglutaminase,Tuberin,VEGFR2,XBP1,XRCC1,YAP_pS127,YB-1,YB-1_pS102,alpha-Catenin,beta-Catenin,c-Kit,c-Met_pY1235,c-Myc,eEF2,eEF2K,eIF4E,mTOR,mTOR_pS2448,p27,p27_pT157,p27_pT198,p38_MAPK,p38_pT180_Y182,p53,p70S6K,p70S6K_pT389,p90RSK_pT359_S363
A0FJ,Basal,0.049130778,0.447486231,-0.074321751,-0.381162898,0.026069432,0.917834192,0.022741468,-0.086267822,-0.416624416,0.285270389,0.076595333,0.172311102,-1.307605693,0.505094485,0.811462882,-0.495944728,-0.001377255,-0.521516801,0.381538724,-0.092909287,0.476309798,0.112201063,-0.156538756,1.060203513,-0.100950513,-0.019449441,-0.034821157,0.408337983,0.108839334,-0.113305066,0.096913816,0.056953664,0.391893475,-0.209648791,0.533755894,0.160404592,-0.061855016,1.056926875,0.137786585,-0.620225952,-0.86940513,1.516735476,-0.310524605,0.987850528,0.066639858,0.319141567,-0.280067365,0.664096381,-0.314243068,-0.014798813,-3.735720229,-0.43533561,0.128021743,-0.272477554,-0.308236366,0.502071921,-1.936132463,0.327755346,-0.672068018,-0.319889825,-0.279268795,-0.094795964,0.020335902,0.201401907,-0.480330972,-0.325678433,-0.064619922,-0.567643654,-0.429257076,0.105549514,0.258697986,-0.008066656,-0.186673347,-2.688093523,0.006161597,-0.087054463,0.574306493,0.035177046,0.469998194,-0.480614685,0.084656357,0.351620527,0.298406719,0.585328695,0.033729813,0.636194547,-0.308720432,0.178875024,0.001377255,-0.010753373,-0.074043528,-0.780103105,-0.147611875,0.432415207,0.732277478,0.242771221,-0.278932994,-0.609477383,-0.167376396,-0.521500228,0.469006933,-0.328331523,-0.197785254,0.322230782,-0.269556664,0.285879229,-0.055477905,0.181566932,-0.244826839,0.126971983,0.089676629,-0.21224071,-0.533917936,0.348679581,-0.061228865,0.017675103,-0.419082639,0.348577267,0.011193947,0.217102991,-0.4827986,0.220305551,-0.079884429,-0.016430583,-0.053431645,-0.217073184,0.176069939,0.408168719,0.518928894,0.786310359,-0.325933741,0.257324054,-0.582752107,0.216846401,0.050895774,0.095273222,-0.449662619,-0.556951816,0.081025859,-0.223194866,-0.173937623,-0.157418908
A13E,Basal,-0.079982106,0.605218418,0.28891184,1.16024542,-0.010967171,0.059101206,-0.459852981,-0.592691835,-0.062268404,-0.2752336,-0.148976761,0.222105981,-1.620475956,0.339581595,1.181015791,-0.275533386,-0.755547887,0.302407671,0.077481383,0.194749839,0.143257789,0.11131084,-0.205462637,-0.160826453,-0.171629248,-0.041253352,-0.298426931,-0.442249202,0.403923023,0.115237853,-0.135688779,-0.369652041,0.431874216,-0.442253479,-1.310081134,0.223441176,-0.122132668,0.651510308,0.086657565,0.780008039,-0.262350291,1.025776946,-0.434476563,0.249589732,-0.167039411,0.133766467,-0.563539618,0.243806816,0.427621979,-0.15823283,-1.819547029,-0.383572889,-0.555580725,0.054168712,-0.827754131,2.406948577,-2.279976808,-0.490528382,0.24492763,0.118022661,-0.029540111,0.202709605,0.104630313,-0.937591946,-1.836180475,-0.381474565,-0.219807176,-0.668121946,-0.084562804,-0.143063025,0.163443118,-0.230994338,0.251408025,1.037258683,0.009881423,0.087664232,0.056761712,-0.302213164,-0.25376761,-0.151129309,-0.260974853,1.543910093,0.505871699,0.166668025,0.014488527,1.263341453,-0.464767952,-0.079186956,1.300678153,-0.560138938,-0.208199604,-0.384844154,0.147336324,0.064809286,-0.281182432,-0.211840331,-0.527701294,-1.455837725,0.075701297,0.907503195,0.272048433,1.128377677,0.68762991,-0.506940427,-0.217409189,0.527212837,0.194784305,0.266364401,-0.168842077,0.224518636,-0.186574381,0.076924163,0.331219684,-0.272993604,-0.073020512,-0.028296056,0.036967782,-0.111797118,0.165037362,0.306066297,-0.429797254,0.405640506,0.480384701,-0.177634387,-0.223180968,2.770044908,-0.060832307,0.915680791,-0.057882454,0.0999867,0.262824659,-0.284464729,0.21541101,0.196963771,0.189674021,0.310016936,-0.515821916,-0.360857274,0.3567919,-0.009881423,0.292625342,0.503641937
A0G0,Basal,-0.032849886,0.894609732,0.891277838,1.400188874,0.265880117,0.51704453,-0.191821916,0.411171898,0.825828592,0.06774184,0.711229159,0.121993985,-1.077894436,0.227180664,1.950922363,0.770857796,-0.067397666,1.673982694,0.837431987,1.252992383,0.224891925,-0.069962738,-0.04760478,-1.771917375,-0.056202128,-0.076969142,0.073740813,-1.244877548,-0.157470172,0.003588099,-0.229473098,0.225919578,0.170553859,-0.027768363,-2.024819193,0.376873438,-0.004657224,0.881431094,0.453422341,-0.343776287,-0.425013922,0.977360144,-0.226412035,-0.329458663,-1.19779729,-0.281557925,-0.125651339,0.534425474,0.710259396,-0.17421607,-3.873648119,-0.37992128,0.694706856,-0.166519949,-1.504812506,2.923408119,-1.581067444,0.029815775,0.578778161,0.077505319,0.027522457,0.479485937,0.63206628,0.579907535,0.646573963,-0.518444314,-0.314420613,-0.540844957,-0.381743559,-0.274673697,0.689488744,-0.096272209,0.250055547,0.868743938,-0.158636843,0.19826702,-0.145723518,-0.205756464,-0.152213241,0.11853137,0.307081189,-0.089052017,0.83199536,1.88582682,-0.003588099,0.535588366,-0.407329173,-0.368951734,-0.015423768,-0.218669734,-0.414486732,-1.166536848,0.163730248,-0.402128366,0.32348004,0.385576883,-0.181859692,-0.024571975,-0.323421141,0.732071162,0.035981687,1.113422053,1.019591513,-0.150899284,-0.187561923,-0.522830981,0.610434814,-0.325891467,-0.405263573,-0.030218403,0.096071044,0.277033843,0.59091598,-0.297071839,0.753168319,0.137287604,-0.228292763,-0.319684068,-0.019607157,-0.162507596,0.494536302,0.494946655,0.793595398,-0.253005701,0.781765224,0.877678147,-0.087531509,0.362255897,0.082206401,-0.434423863,0.195464609,-0.034646317,0.089430851,-0.462765283,0.248908074,0.393506437,-0.472734604,-0.357858537,-0.225719432,-0.270273922,-0.159280276,0.353103708
A0SX,Basal,-0.205329492,-0.141322924,-0.018410963,-0.444224272,-0.051267718,-0.313728669,-0.074823472,-0.851480596,-0.663410436,0.029563729,0.423358038,1.054948103,-1.267054694,0.355297672,0.607423831,0.78132869,0.056726701,-0.388483945,0.314318436,0.575274185,-0.221859607,-0.036546549,0.085173319,0.345023494,-0.096473309,0.963238561,-0.203558523,0.163042908,0.037683828,-0.129941932,0.073040655,-0.377061206,0.4876085,0.619517693,-0.105724014,0.004513815,-0.189949868,0.222821482,-0.130329316,0.228050453,-0.159521178,0.56927322,-0.512848244,1.425506793,-0.257536376,0.192108562,-0.664565144,0.352760225,-0.236567969,-0.134325087,-2.99811576,-0.685626394,0.302060714,-0.14354972,0.071241868,0.292463662,-1.572634873,0.728164262,-0.586536001,-0.566376898,-0.273158522,0.026104541,-0.220573846,-0.671018432,-1.437830336,0.46404235,-0.109619102,-0.173740051,-0.455694704,-0.079164176,-0.280531935,-0.143630122,1.191936463,-0.558220504,0.476989544,0.139155945,0.146487834,-0.109318256,0.07454726,0.307290468,-0.148724485,0.587424919,0.078927006,-0.299613277,-0.118880278,0.37083254,-0.228788271,0.483324632,0.026779593,0.453515538,0.34676634,-0.259153928,-0.089759178,0.042290376,0.328423782,-0.053197845,-0.226871536,-0.11774378,0.29339662,-0.161813227,0.30239449,0.502329072,0.384097237,-0.08466267,0.053096458,1.230769748,-0.053993864,-0.367207136,-0.09724476,0.024262899,-0.124778294,0.325165603,-0.067072589,0.0250797,1.419017731,-0.004513815,-0.069094653,0.149463174,1.284674967,0.562092203,-0.843748533,0.141561232,0.17450365,0.10037374,-1.622894014,1.498949824,-0.164055362,0.377608437,0.031720911,-0.152924039,-0.192116025,0.064513185,-0.192103752,0.405618773,0.464442303,0.598939835,0.063977828,0.191988595,0.450279444,-0.137369722,-0.167167192,-0.14685493
A143,Basal,0.060190211,0.131768992,0.665325385,0.351763305,0.06980286,0.330912383,-0.024357467,0.76975143,0.873478702,-0.216531821,-0.474145554,0.01378422,-0.601327437,0.544125136,0.538762877,0.013854306,0.238114357,1.671347628,2.364076948,-1.557003586,0.248234872,-0.124839115,0.151544397,-1.588878871,-0.140526557,-0.219198072,-0.147058902,0.051760204,0.219029836,-0.198367739,-0.037514094,0.032209215,0.356320675,-0.113207256,-1.723398601,0.227372,0.017550321,0.425296288,0.176483083,0.233078487,-0.80597855,1.368956673,-0.87502363,1.406639282,-0.140119893,0.425940329,-0.183035778,4.317529105,4.782984799,1.458321515,-4.189787387,-0.193997599,-0.314338492,0.044364903,-0.603980192,-0.485266605,-1.847252393,0.469975493,1.495827719,-0.463820956,1.478673881,-0.542120925,-0.139469093,-0.770490415,-0.81609791,-0.908022198,-0.627411615,-0.103766891,-0.611002809,-0.112961675,0.3711589,0.010516704,-0.553319399,-2.187699107,-0.066431068,-0.308342819,0.087171244,-0.297644935,-0.354310139,0.454350301,-0.091914958,0.287380569,1.072197557,-0.862095498,0.529634436,0.074946084,0.294831926,-0.118586987,-0.413588722,-0.322987763,-0.131639437,-1.347700817,0.27275072,-0.387810951,0.486939788,-0.080996205,-0.353386671,-0.277236244,-0.400622018,1.431239135,0.229041359,-0.371994527,-0.198175598,0.215464839,0.205777804,0.605450171,0.796428655,-0.144785349,-0.155965877,0.006918285,0.578931967,0.406928718,0.392619969,0.169616716,-0.284292682,-0.19032855,0.338895958,-0.60032033,-0.180375248,0.239509802,-0.265585582,0.12086436,0.248795234,-0.255685882,-0.149180322,-0.609042405,0.044390515,-0.393818596,0.152436659,-0.006918285,-0.568345241,0.469090668,-0.25519283,0.193790662,0.085918005,0.424875458,-0.288440129,0.218985353,-0.145486071,0.379179443,-0.336897519,0.634387055
A0DA,Basal,0.030761714,0.032996799,0.05236064,0.789235975,0.017045552,-0.220271002,0.41861665,-0.714308701,-0.21752677,-0.063065064,-0.046039709,0.060256895,-1.208038484,-0.110944799,0.311949453,0.071748319,0.193712038,0.512817694,0.192893831,0.491015188,-0.195445933,-0.257300059,-0.090041106,-0.782913123,-0.099476757,-0.20876235,-0.035583612,-0.434277577,0.120775889,0.056949987,-0.172646324,-0.279859151,0.057826839,-0.533360022,-1.76134692,-0.069237193,0.015351265,-0.258980977,0.060761516,0.040042353,-0.535507295,0.071681473,0.099692628,-0.042159529,-0.367748064,0.446634837,-0.267013017,0.050097944,0.780584595,-0.044187129,-3.399723188,-0.351337443,-0.253224295,-0.068774082,1.311350474,0.167338485,-1.634980118,0.081028006,0.649635969,-0.288404493,0.019022569,-0.331464101,-0.237566105,0.332501287,-0.829780284,-0.767100413,-0.195256695,-0.193912077,0.444951179,-0.006066745,0.051021593,-0.192748751,0.006066745,1.326399688,0.354088921,0.080035012,0.122395038,-0.097256598,-0.189998862,0.263011943,0.030743596,0.193803275,0.492177254,0.084051157,-0.382210536,1.116236595,-0.539618281,-0.123363768,0.251609265,-0.252937657,-0.224208628,-1.141037496,0.118641452,-0.391106819,0.495791984,0.283256173,0.081539171,-0.173862769,-0.24746366,0.956561181,-0.424637634,0.027717625,0.110903521,-0.129301027,-0.1290926,1.059262755,0.223668749,-0.236895454,0.034545092,-0.208387075,0.076221364,0.128169966,0.96956842,-0.157662337,0.155144632,-0.067202348,0.150167382,-0.316328913,-0.39109105,0.079698378,0.895020711,0.294826266,0.442579406,-0.253874765,0.459969448,1.464676754,0.040102073,0.386375498,-0.00821828,-0.041437672,-0.280233782,-0.015801229,-0.056859737,-0.501023915,-0.008245484,0.126178302,-0.068335302,-0.054052101,0.354130551,-0.075378738,0.009586525,0.057943379
A0B3,Basal,-0.107861537,-0.037124691,0.199690201,0.586575643,0.323403397,-0.544743061,0.4305035,-0.363474049,-0.269313837,-0.077581092,-0.171002769,0.008872461,-1.016297633,-0.233223615,1.138875941,-0.209624373,-0.301495924,1.118249675,0.923638058,0.5338784,-0.036284702,-0.115681609,-0.041475148,-1.041432134,-0.037510164,-0.219048417,-0.166370155,-0.290144108,0.149760561,0.136109257,-0.003427764,0.064025012,0.201249969,1.021124691,-0.396679637,0.204323902,0.064710013,0.163256893,0.152437373,-0.287622816,-0.51376794,1.23788943,-0.35914559,0.516007883,-0.449538023,0.076229878,-0.491338394,0.392525011,0.226414171,-0.04098212,-2.989476904,-0.587056514,0.887809988,0.044011215,0.535540762,0.448566561,-1.444161006,0.235410671,0.682535474,-0.453937752,-0.175576412,-0.251179149,0.003427764,0.763452138,0.428025856,-0.949655085,-0.305221829,-0.370212749,0.183804389,-0.042102961,-0.192398807,-0.270136797,0.558304978,0.862454569,-0.408569216,0.205796396,0.041817421,-0.043531013,-0.044950855,0.495810093,0.114478858,0.107899444,1.036617235,0.363968412,0.13728582,0.75976557,-0.268953219,-0.180621231,-0.212585642,0.049033185,0.052760572,-0.827203703,0.419750086,-0.003501331,-0.031430449,-0.059862167,-0.22480551,0.059342472,-0.196868216,-0.129104821,0.309545532,1.624112618,1.113585416,0.255806669,0.186518233,0.330409019,0.009905257,-0.106693994,-0.219930259,-0.132530085,-0.087008458,0.067842124,0.321506962,-0.092028243,0.858287237,-0.010297302,-0.055187588,0.140185658,-0.237029014,-0.020376157,0.038498591,-0.40827945,0.814513099,-0.20861614,0.329782113,-0.057233132,0.032599375,-0.145380544,0.175684863,-0.151690487,-0.205413678,-0.137357842,0.294846179,-0.177821468,-0.042891797,0.497817942,0.11684647,0.503154999,0.500846338,-0.010053108,0.182729473,0.226068767
A0I2,Basal,0.649843964,-0.521486566,0.249978143,0.463411458,0.320128654,-1.602035354,-0.187146583,1.077614819,1.589982391,-0.077539595,-0.252502221,-0.051879358,-0.421226914,-0.355375332,-0.632758755,-0.924064611,-0.474028486,2.401015817,1.297159358,1.21076392,-1.073519195,0.877446947,-0.541192844,0.414429321,0.747698871,-0.651450606,0.945135636,-0.528090899,-0.42642058,0.340839757,-0.578450634,0.205927164,0.155309812,0.627641702,2.686508735,0.484760371,0.140980206,-0.704369689,-0.111251232,-1.399600296,0.978527994,-1.324069362,1.013579849,0.38413664,0.203072355,-0.867962986,-2.585955213,1.082286332,1.224327604,0.769182452,-2.31065015,-0.367847711,-0.390388152,0.622776747,-1.184191741,-0.229191164,-1.328800753,-1.185028362,-0.601926912,-0.681058425,0.59927978,0.854275876,0.935463453,2.917462778,-0.622230595,-0.837800945,0.728729802,0.304660321,0.787527862,0.583700683,-0.810264637,-0.610548772,0.691335174,0.843637732,0.31671828,0.037413217,0.29060849,0.323921412,1.114538205,-0.288120761,-0.044340662,1.087775246,0.604125423,-0.296487654,0.431621616,-2.852521607,-0.8746542,0.056985304,0.35655409,0.112073279,-0.059904781,-0.091948287,0.447819609,-0.09563091,-0.154225128,0.112730422,-0.214044659,-1.1526149,-0.174010549,-1.179962311,-1.5491884,0.662093607,0.102485871,-0.244192449,1.011090211,1.223293259,-1.536524789,-0.14815266,0.218401733,0.650639313,0.02325023,-0.314632599,1.441582673,0.424001342,-0.390373415,-0.348918926,-0.722904504,-1.959941427,0.15456336,0.018651997,0.176935974,-0.474226993,0.419375666,-1.068753081,-0.768463343,0.313972201,0.069213327,0.527637046,-0.124965719,-0.459753512,-0.069020861,-0.878664352,0.115336547,-0.130171231,0.167836057,-0.018651997,-0.711524544,0.304508022,-0.093397803,-1.027848057,1.644392904,-0.398537941
A0RT,Basal,-0.013650441,-0.634850633,-0.082575426,0.302828702,0.067672264,-0.720723295,-0.374882996,-1.254491083,-0.901353585,-0.177636653,-0.789506863,-0.041880238,-0.95232486,-0.179195256,0.145464752,0.833870191,-0.367759411,0.62988585,0.081434135,0.424004827,-0.711215072,0.183770057,0.146947246,0.531749294,-0.275295151,-0.165614955,0.310251463,0.227648621,-0.284617195,0.019565559,0.081700778,-0.132198583,0.238982271,1.765265466,1.696473472,0.190864987,0.059754129,0.476877281,0.222475393,-1.606562159,0.835688459,0.245716912,0.247347773,0.193681101,0.116048949,-0.834386293,-1.582137736,0.340752956,0.082367914,0.03379072,-2.776301526,-0.544898769,0.32492644,0.171370078,-1.008506661,-0.399167193,-1.201725734,-0.531652325,-0.588216776,-0.999923965,-0.06897358,0.033277381,0.148981165,1.747770858,-1.306091545,-0.677489595,0.207070293,-0.244021846,-0.006990401,0.386139409,-0.210542436,-0.321570193,1.717021145,0.72283816,0.104156365,-0.053907752,-0.010390626,0.186993602,0.459653269,-1.293728862,0.037504149,0.29717468,0.379023494,-0.113917529,0.005341426,0.367796324,-0.253200309,-0.143062756,0.010779732,0.392994919,-0.048779797,-0.489673357,0.027212866,0.093328405,-0.435822385,-0.203988798,-0.036706301,-0.728107135,-0.090611223,-0.873370359,-0.005341426,0.496422383,-0.038544918,-0.477858288,0.618020413,0.436424237,0.08439497,-0.138433978,-0.176662469,0.046242295,0.046176272,-0.414045511,0.114282033,0.40151004,0.750045265,-0.020907964,-0.247950571,-1.373597755,-0.039007805,0.041835377,-0.502111683,-0.621121866,-0.177634605,-0.443798436,-1.111094521,0.538949202,0.005346962,0.030436379,-0.238081129,-0.638435611,-0.144441853,-0.514820447,0.104919926,0.372355906,0.051831041,0.278675323,0.063794701,0.275331354,0.182412073,-0.485719829,0.50160362,-0.270609088
A131,Basal,0.430934243,1.052571622,0.350978694,0.205140253,0.610566789,-0.811335319,0.353262354,-0.883296744,-0.681364747,0.261182525,-0.570300108,-0.002134606,-0.180283541,-0.474665632,0.57302276,-1.437886811,-2.076780921,0.030745994,0.138916766,0.860456164,-0.77742039,0.225506191,1.287016908,-0.489467081,0.269694016,-0.150503906,-0.018054521,-0.007517967,-1.245853396,0.460721908,0.369491843,0.517676615,0.002134606,0.352560344,-0.864837162,0.947683988,0.335941065,-0.31448756,0.454348519,1.602085268,-0.486472099,0.483283536,-0.111759389,-0.055030013,0.212901975,0.102248289,-0.724404021,0.316867625,-0.525392247,0.137730289,-3.412060572,-0.40607415,-3.206526813,0.322362799,2.652721444,-1.023919732,-1.55392326,-0.790232876,-1.625854902,-1.396374732,-0.491349925,-0.551322062,0.08352112,0.766150113,2.064454201,-0.769164485,-0.104383989,-0.950488596,-0.18749903,0.197283104,-1.14887294,0.041303026,0.124496344,1.488097633,-0.352174842,0.044456481,0.201297217,0.355668237,0.388473883,-0.992541841,-0.027634348,0.084131708,-1.12198906,1.382937245,0.119586241,0.058448582,-0.358971356,-0.449416268,-0.364723149,-0.444680446,0.04403303,-0.875290815,-0.190149485,0.46486572,0.141638512,-1.711628881,0.531006313,-0.105876895,-1.036539419,1.134292036,-0.621280977,0.737748855,-0.370776315,0.326473335,-0.558026296,-2.451550792,-0.418486955,-0.042378697,-0.074810896,0.374372595,0.330963939,0.025876878,-0.485985449,0.407435273,-0.277208674,0.117740253,-1.941067151,-0.09576903,-0.168896008,0.33301018,1.063530157,-0.383315195,0.995825018,-0.338466527,-1.374891846,0.069670776,0.307882934,-0.3141425,-0.368035912,-1.246009202,0.694181615,-0.926118608,0.367132801,0.114557537,0.298311747,0.09663423,0.249196848,0.127554039,0.482770537,-0.598089404,0.081595027,-0.516343082
